"DM","DO","DS","PB","PE","PF","PM","PP","RM"
0.322033898305085,0.457627118644068,0,0,0.0508474576271186,0,0.0169491525423729,0.0338983050847458,0.11864406779661
0.5,0.453125,0,0,0,0,0,0.03125,0
0.263157894736842,0.618421052631579,0,0,0.0263157894736842,0,0,0.0789473684210526,0.0131578947368421
0.269230769230769,0.576923076923077,0,0,0,0,0,0.115384615384615,0.0192307692307692
0.6,0.24,0,0,0,0,0,0.08,0.08
0.928571428571429,0,0,0,0,0.0357142857142857,0,0.0357142857142857,0
0.357142857142857,0.214285714285714,0,0.0857142857142857,0.0142857142857143,0.0142857142857143,0,0.271428571428571,0
0.166666666666667,0.452380952380952,0,0.107142857142857,0,0.119047619047619,0,0.142857142857143,0.0119047619047619
0.133333333333333,0.533333333333333,0,0.075,0.00833333333333333,0.025,0.025,0.166666666666667,0.0333333333333333
0.272727272727273,0.393939393939394,0.0151515151515152,0.0909090909090909,0,0,0,0.227272727272727,0
0.372549019607843,0.313725490196078,0,0.0784313725490196,0,0,0.0392156862745098,0.196078431372549,0
0.163461538461538,0.192307692307692,0,0.25,0.00961538461538462,0,0,0.384615384615385,0
0.12,0.226666666666667,0,0.36,0,0,0,0.293333333333333,0
0.101851851851852,0.296296296296296,0,0.231481481481481,0,0,0,0.361111111111111,0
0.015625,0.3203125,0,0.1328125,0.0234375,0.0234375,0,0.4609375,0.015625
0.025,0.225,0,0.3,0.0125,0,0,0.4375,0
0.0210526315789474,0.157894736842105,0,0.336842105263158,0,0,0,0.484210526315789,0
0.0240963855421687,0.204819277108434,0,0.228915662650602,0.0120481927710843,0,0,0.506024096385542,0
0.0304568527918782,0.208121827411168,0,0.49746192893401,0.0253807106598985,0,0.0152284263959391,0.187817258883249,0.0101522842639594
0.112582781456954,0.463576158940397,0,0.218543046357616,0.0132450331125828,0,0.0264900662251656,0.132450331125828,0.0264900662251656
0.0689655172413793,0.46551724137931,0,0.103448275862069,0,0,0,0.327586206896552,0.0344827586206897
0.0416666666666667,0.520833333333333,0,0,0.1875,0,0,0.0416666666666667,0.1875
0.159090909090909,0.727272727272727,0,0,0.0454545454545455,0,0,0.0227272727272727,0.0454545454545455
0.134615384615385,0.480769230769231,0,0,0.0769230769230769,0,0,0.0961538461538462,0.153846153846154
0.0535714285714286,0.517857142857143,0,0,0.178571428571429,0,0,0.0892857142857143,0.125
0.35,0.35,0,0,0.05,0.05,0,0,0.2
0.482758620689655,0.310344827586207,0,0,0,0,0,0.172413793103448,0.0344827586206897
0.447761194029851,0.149253731343284,0,0,0,0,0.0149253731343284,0.373134328358209,0.0149253731343284
0.433962264150943,0.0377358490566038,0,0.132075471698113,0.160377358490566,0.00943396226415094,0.0188679245283019,0.141509433962264,0.0660377358490566
0.182539682539683,0.166666666666667,0.0476190476190476,0.246031746031746,0.0476190476190476,0,0.0793650793650794,0.158730158730159,0.0714285714285714
0.40506329113924,0.113924050632911,0.10126582278481,0.151898734177215,0,0,0.0126582278481013,0.215189873417722,0
0.169811320754717,0.169811320754717,0.132075471698113,0.132075471698113,0.0188679245283019,0,0.0943396226415094,0.226415094339623,0.0566037735849057
0.0454545454545455,0.0795454545454545,0,0.545454545454545,0.0113636363636364,0,0,0.295454545454545,0.0227272727272727
0.323076923076923,0.0461538461538462,0,0.246153846153846,0.0769230769230769,0,0,0.292307692307692,0.0153846153846154
0.150943396226415,0.10377358490566,0,0.405660377358491,0.0754716981132075,0,0,0.245283018867925,0.00943396226415094
0.096,0.008,0,0.496,0.16,0,0,0.216,0.024
0.0897435897435897,0,0,0.474358974358974,0.0897435897435897,0,0,0.346153846153846,0
0.111111111111111,0.0476190476190476,0,0.444444444444444,0.0793650793650794,0,0.0158730158730159,0.293650793650794,0.00793650793650794
0.150375939849624,0.0827067669172932,0,0.360902255639098,0.0977443609022556,0,0.0225563909774436,0.270676691729323,0.0150375939849624
0.123809523809524,0.0476190476190476,0,0.519047619047619,0.080952380952381,0.00476190476190476,0.0523809523809524,0.128571428571429,0.0238095238095238
0.149068322981366,0.0745341614906832,0,0.484472049689441,0.0496894409937888,0,0.0869565217391304,0.130434782608696,0.0186335403726708
0.0526315789473684,0.157894736842105,0,0.315789473684211,0.087719298245614,0,0,0.368421052631579,0.0175438596491228
0.807692307692308,0,0.0769230769230769,0,0,0.0256410256410256,0,0.0128205128205128,0.0769230769230769
0.916666666666667,0,0.0833333333333333,0,0,0,0,0,0
0.877777777777778,0.0111111111111111,0,0,0,0.0666666666666667,0,0.0222222222222222,0.0222222222222222
