Group,site,species,intercept,slope,Persistence,Mean,Median
Birds,hubbard,Solitary.Vireo,0.017707949,-0.609087637,0.476190476,1.138888889,0.5
Birds,hubbard,Red.eyed.Vireo,0.19721865,-0.131456511,1,22.11904762,22
Birds,hubbard,Bk..thr..Green.Warbler,0.13695229,-0.080202829,1,12.51190476,12.75
Birds,hubbard,Bk..thr..Blue.Warbler,0.088166484,-0.456187037,1,10.02380952,10.25
Birds,hubbard,Yellow.r..Warbler,0.020454589,-0.893555333,0.5,1.125,0.75
Birds,hubbard,Blackburnian.Warbler,0.021648875,-0.524227733,0.833333333,2.575,2
Birds,hubbard,Ovenbird,0.115028984,-0.208040963,1,12.52380952,11
Birds,hubbard,American.Redstart,0.064458019,-0.173041329,0.976190476,16.7195122,13
Birds,hubbard,Scarlet.tanager,0.024755118,-0.481294368,1,3.321428571,3
Birds,hubbard,Rose.br..Grosbeak,0.030541956,-0.789661702,0.904761905,4.197368421,4
Birds,hubbard,Dark.eyed.Junco,0.024939824,-1.214124511,0.30952381,1.341463415,0
Birds,hubbard,Purple.Finch,0.014467185,-1.637165091,0.095238095,0.282051282,0
Birds,konza_songbirds,AmericanCrow,0.005719494,-0.388481398,0.928571429,9.107142857,7.5
Birds,konza_songbirds,AmericanGoldfinch,0.01514514,-0.461017961,0.964285714,19.67857143,14.5
Birds,konza_songbirds,AmericanRobin,0.010031566,-1.066641999,0.892857143,45.64285714,5.5
Birds,konza_songbirds,AmericanTreeSparrow,0.017745179,-1.152758838,0.678571429,28.75,11.5
Birds,konza_songbirds,BaltimoreOriole,0.003328708,-0.910428439,0.892857143,4.714285714,3.5
Birds,konza_songbirds,BarnSwallow,0.002912971,-0.900981033,0.571428571,2.75,1.5
Birds,konza_songbirds,BellsVireo,0.029480204,-0.241662869,0.964285714,24.85714286,22
Birds,konza_songbirds,BewicksWren,0.002998777,-0.971076473,0.714285714,2.928571429,3
Birds,konza_songbirds,BlackandwhiteWarbler,0.002450419,-2.031568049,0.321428571,1,0
Birds,konza_songbirds,BlackcappedChickadee,0.015968032,-0.719649572,1,29.96428571,21.5
Birds,konza_songbirds,BluegrayGnatcatcher,0.011514783,-0.43366018,0.821428571,11.71428571,8
Birds,konza_songbirds,BlueGrosbeak,0.007083846,-0.246026546,0.5,2.785714286,1
Birds,konza_songbirds,BlueJay,0.015405186,-0.366009992,0.964285714,27.28571429,17
Birds,konza_songbirds,BrownCreeper,0.00459026,-0.624064224,0.428571429,1.75,0
Birds,konza_songbirds,BrownheadedCowbird,0.109840542,-0.623655504,0.964285714,129.0714286,132
Birds,konza_songbirds,BrownThrasher,0.023782106,-0.607851662,0.964285714,28.14285714,28
Birds,konza_songbirds,CarolinaWren,0.005164973,-0.827682335,0.571428571,3.214285714,1
Birds,konza_songbirds,CommonGrackle,0.004947551,-0.723439434,0.535714286,19,2
Birds,konza_songbirds,CommonNighthawk,NA,NA,0.928571429,4.357142857,3
Birds,konza_songbirds,CommonYellowthroat,0.014995704,-0.808139275,0.964285714,17.28571429,17
Birds,konza_songbirds,DarkeyedJunco,0.008894572,-1.502558708,0.678571429,14.42857143,7
Birds,konza_songbirds,Dickcissel,0.210977215,-0.404936509,0.964285714,253.2857143,254
Birds,konza_songbirds,DownyWoodpecker,0.005182412,-1.103222166,0.964285714,7.107142857,6.5
Birds,konza_songbirds,EasternBluebird,0.007589312,-0.979571593,1,14.25,9
Birds,konza_songbirds,EasternKingbird,0.006805852,-0.428135833,0.892857143,11.53571429,12.5
Birds,konza_songbirds,EasternMeadowlark,0.062036442,-0.587927644,0.964285714,85.46428571,70
Birds,konza_songbirds,EasternPhoebe,NA,NA,0.428571429,3.821428571,0
Birds,konza_songbirds,EasternTowhee,0.007715386,-0.473489458,0.928571429,8.785714286,8
Birds,konza_songbirds,EasternWoodPewee,0.006442822,-0.240602058,0.928571429,9.928571429,10
Birds,konza_songbirds,EuropeanStarling,0.044714667,0.612068492,0.321428571,9.25,0
Birds,konza_songbirds,FieldSparrow,0.032181045,-0.745752524,0.964285714,39.53571429,33.5
Birds,konza_songbirds,GoldencrownedKinglet,0.00249365,-0.59417801,0.428571429,2.714285714,0
Birds,konza_songbirds,GrasshopperSparrow,0.037927152,-0.730803587,0.964285714,51.46428571,51.5
Birds,konza_songbirds,GrayCatbird,0.007668057,-0.220973173,0.928571429,7.892857143,5.5
Birds,konza_songbirds,GreatCrestedFlycatcher,0.011846717,-0.479106343,0.964285714,16.07142857,13.5
Birds,konza_songbirds,HairyWoodpecker,0.001655515,-0.535248842,0.857142857,2.178571429,2
Birds,konza_songbirds,HenslowsSparrow,0.007732563,-0.725928015,0.892857143,13.78571429,8.5
Birds,konza_songbirds,HouseWren,0.005423079,-0.532115627,0.964285714,10.39285714,6.5
Birds,konza_songbirds,IndigoBunting,0.014453304,-0.221055279,0.928571429,16.35714286,11
Birds,konza_songbirds,KentuckyWarbler,0.001972791,-0.750408626,0.607142857,1.25,1
Birds,konza_songbirds,LarkSparrow,0.00279232,-1.081236241,0.571428571,2.25,1
Birds,konza_songbirds,LeContesSparrow,0.006799348,-1.353672718,0.25,4.857142857,0
Birds,konza_songbirds,LincolnsSparrow,0.007759994,-0.630914681,0.25,6.178571429,0
Birds,konza_songbirds,LouisianaWaterthrush,0.00240017,-1.080326456,0.821428571,2.964285714,2
Birds,konza_songbirds,NorthernCardinal,0.010442457,-0.416352537,1,21.75,16
Birds,konza_songbirds,NorthernFlicker,0.004645323,-0.224115569,0.928571429,15.89285714,7.5
Birds,konza_songbirds,NorthernParula,0.002397305,-1.158001347,0.321428571,0.75,0
Birds,konza_songbirds,NorthernRoughwingedSwallow,0.00150898,-0.637409948,0.321428571,1.035714286,0
Birds,konza_songbirds,OrangecrownedWarbler,0.001817768,-0.734684572,0.178571429,0.75,0
Birds,konza_songbirds,OrchardOriole,0.005951974,-0.400910705,0.464285714,2,0
Birds,konza_songbirds,RedbelliedWoodpecker,0.013587163,-0.36389668,1,20.85714286,18
Birds,konza_songbirds,RedeyedVireo,0.003154944,-0.165920781,0.821428571,3.428571429,3
Birds,konza_songbirds,RedheadedWoodpecker,0.040723658,-1.121108089,0.642857143,47.57142857,24
Birds,konza_songbirds,RedwingedBlackbird,0.015540945,-1.047661183,0.964285714,20.14285714,18
Birds,konza_songbirds,RosebreastedGrosbeak,0.002758895,-0.228292952,0.357142857,1.071428571,0
Birds,konza_songbirds,RubycrownedKinglet,0.003583099,-1.005691545,0.142857143,0.857142857,0
Birds,konza_songbirds,SavannahSparrow,0.005118075,-2.696547123,0.178571429,2.928571429,0
Birds,konza_songbirds,SedgeWren,0.004367708,-0.705753773,0.25,2.892857143,0
