Year	Site	total	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22	23	26	27	28	29	31	32	33	34	35	36	37
1987	Buoy.109	126.5755	0.045	0.0475	17.37	0	0.625	12.94	0.5075	16.5925	0	14.459	0	24.6095	8.0405	0.957	0	6.4755	0	4.693	19.2135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1988	Buoy.109	472.9155	0	0.625	124.6615	0	1.3545	48.7105	31.258	23.783	8.99	78.201	12.2225	36.1525	1.432	0.1925	0	42.4795	0	18.782	43.9855	0.0855	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	Buoy.109	243.1105	0	0.0275	25.962	0	0.905	2.518	4.6655	35.465	3.33	40.7695	1.484	39.4795	31.5855	2.2345	0.05	10.585	0	11.888	32.1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	Buoy.109	252.2846667	0	0	47.19333333	0	0.193333333	15.04333333	30.496	1.716666667	0.503333333	34.618	1.053333333	40.58466667	15.73	5.664666667	0.67	13.43	6.33E-02	16.98066667	28.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	Buoy.109	337.9491667	0	0.028	35.3575	0	0.697166667	29.61066667	69.7945	0.418833333	1.9975	44.78033333	2.198666667	35.29616667	15.97	2.244333333	0.3555	40.167	0.0425	19.9605	35.27	0	0	0	0	0	0.21	0	0	0	3.55	0	0	0	0
1992	Buoy.109	139.2373333	0	0	10.27733333	0	0.408166667	3.063333333	40.98816667	17.59066667	0	21.28533333	0.289	9.412	11.31716667	2.353666667	0.281833333	1.789166667	0.0475	10.3385	9.7955	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	Buoy.109	124.5105	0	0	10.995	0	0	0	0.246	30.2925	0.04	11.969	0.8875	47.135	0.952	15.1285	0	0	0.016	0.8765	5.9725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	Buoy.109	137.274	16.981	0	1.1225	0.9785	0	0	14.7395	18.1725	0	5.4875	0.5045	57.6435	1.9905	2.9255	0	0.0425	0.034	5.8515	10.8005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	Buoy.109	161.1915	6.197	0	2.6225	0	0.8975	18.3875	1.7335	59.8755	0.0325	7.741	3.8875	8.474	24.4525	0.2945	0	0.3225	0	5.318	20.3305	0.035	0	0	0	0	0	0.38	0	0	0	0	0.21	0	0
1996	Buoy.109	152.9935	0	0	1.444	0	0.1525	30.798	12.4035	33.963	0	20.5555	0.056	23.536	7.7355	1.413	0	0	0	6.5175	14.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	Buoy.109	242.6145	0	0	7.4025	0	0.5125	44.6215	6.737333333	43.91933333	0	20.629	1.4325	62.9715	19.6465	2.387	0	0.145	0	13.861	16.87883333	0	0	0	0	0	0.2	1.27	0	0	0	0	0	0	0
1998	Buoy.109	252.2138333	0.052	0	9.734666667	0	0	54.85766667	31.8125	0	0.621666667	25.27183333	8.780666667	29.01116667	15.99433333	3.959833333	0	12.35616667	0.146666667	12.207	47.09766667	0	0	0	0	0	0	0	0	0	0.13	0	0.18	0	0
1999	Buoy.109	325.6608333	4.8775	0.305833333	5.15	0	0.135	127.4581667	44.138	3.7735	0.0475	17.829	3.6875	27.1605	37.6775	1.041333333	0	0.805	0.38	14.07766667	20.33183333	0	2.095	0	13.76	0	0	0.93	0	0	0	0	0	0	0
2000	Buoy.109	326.6558333	0.2665	0.022	61.44833333	0	0.36	89.1305	65.74383333	15.93966667	0.0865	27.65916667	0	25.40766667	15.36916667	1.960166667	0	0.04	0	2.909833333	6.9825	0	0	0	11.82	0	0	1.51	0	0	0	0	0	0	0
2001	Buoy.109	507.582	0	0	47.825	0	1.235833333	142.4383333	48.73183333	49.84916667	0	32.09483333	4.618333333	53.48866667	19.07033333	5.745666667	0	2.423333333	0	37.53033333	12.33783333	0	30.32416667	0	19.86833333	0	0	0	0	0	0	0	0	0	0
2002	Buoy.109	341.0061667	3.125333333	0.02	20.66566667	0	0.948666667	25.42133333	80.5155	0.707333333	0.183333333	23.73983333	10.846	20.15866667	38.05216667	1.574333333	0	12.926	0.054	25.8395	14.15116667	0	40.249	0	10.30333333	0	0	10.35	0	0	0.18	0	0.425	0	0.57
2003	Buoy.109	549.6931667	3.8445	0.248	40.16716667	0	0.6225	168.0633333	77.27983333	15.34116667	0.215	23.31833333	7.598	8.531666667	31.87833333	1.2645	0	111.8481667	0	23.869	14.94366667	0	0	0	0	11.495	2.4	0.175	0	0	0	0	0	0	6.59
2004	Buoy.109	427.5715	0.2225	0	15.695	0	0	150.3475	13.3005	58.70066667	0.024	51.82333333	3.3825	41.7745	26.21566667	7.670833333	0	5.7165	0.152	14.7	16.60183333	0	6.66	0	9.1425	0	0.25	4.771666667	0	0	0	0	0.04	0.38	0
2005	Buoy.109	318.2125	2.545	0	14.8825	0	0.6935	9.315	25.578	22.723	0.12	12.77	8.4875	41.0715	37.842	8.6575	0	12.369	0.318	32.285	41.0455	0	22.95733333	0	13.454	0	0	10.95816667	0	0	0	0	0	0	0.14
2006	Buoy.109	325.2765	0.721166667	0	16.44666667	0	0.08	25.78583333	62.36483333	0.48	0	66.18233333	6.323333333	46.44866667	6.8665	2.4105	0	3.345833333	0.07	29.98816667	24.877	0	25.71583333	0	0.122	0	0	7.047833333	0	0	0	0	0	0	0
1975	Buoy.117	258.4605	0	0	37.107	0	1.9135	84.7595	0	31.2525	0.1225	12.397	11.501	58.48	0	0.103	0	0	0.0985	3.426	17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
