Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
1998	COLL1	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL1	0.072	0	0	0	0	0	0	0	0	0.002	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0.002	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL1	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL1	5.823	0	0	0	0	0	0	0	0	0	0	0	0	5.822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL1	1.937	0	0	0	0	0	0	0	0	0.032	0	0	0	0.009	0	0	0	0	0.008	0	0.011	0	0	0	1.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL1	12.689	0	0	0	0	0	0	0	0	0.321	0	0	0	12.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL1	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL1	68.071	0.322	0	0	0	0	0	0	0	2.455	0	0	0.004	4.652	0	0	0	0.079	0.712	0	0	0	0	0	59.846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL1	0.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL2	36.879	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	35.781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.525	0.213	0	0	0	0
1991	COLL2	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL2	6.518	0.938	0	0	0	0	0	0	0	0.151	0	0	0	0.16	0	0	0	0	0.483	0	0.242	0	0	0	4.473	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0
1993	COLL2	5.306	0	0	0	0	0	0	0	0	0	0	0	0	1.487	0	0	0	0	2.939	0	0.038	0	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL2	8.116	0	0	0	0	0	0.264	0	0	0.032	0	0	0	2.118	0	0	0	0	0.002	0	0.418	0	0	0	5.136	0.021	0	0	0	0	0	0	0.005	0	0	0	0	0.083	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL2	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL2	7.366	0	0	0	0	0	0	0	0	0.147	0	0	0	0.145	0	0	0.033	0	0.095	0	0	0	0	0	6.925	0	0	0	0	0	0.011	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL2	0.294	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL2	0.577	0	0	0	0	0	0	0	0	0	0	0	0	0.191	0	0	0	0	0.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL2	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL2	3.002	0	0	0	0	0	0	0	0	0	0	0	0	2.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL2	0.732	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0.638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL2	18.287	0.342	0	0	0	0	0	0	0	0	0	0	0	10.958	0	0	0	0	1.68	0	0	0	0	0	5.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL2	20.034	2.496	0	0	0	0	0	0	0.192	0.61	0	0	0	3.985	0	0	0	0.063	3.083	0	0.755	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL2	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL3	99.573	0	0	0	0	0	0	0	0	0	0	0	0.004	0.008	0	0	0	0	0	0	0	0	0	0	99.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218	0.047	0.084	0.006	0	0
1991	COLL3	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL3	22.289	0.502	0	0	0	0	0	0	0	0.045	0	0	0	0.023	0	0	0	0	0.15	0	0.169	0	0	0	21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL3	2.869	0	0	0	0	0	0	0	0	0	0	0	0	0.829	0	0	0	0	1.154	0	0.064	0	0	0	0.682	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL3	0.012	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL3	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
