Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
1998	SMAL1	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL1	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL1	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
2001	SMAL1	0.165	0	0	0	0	0	0	0	0	0	0	0	0	0.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SMAL1	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL1	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SMAL1	1.379	0	0	0	0	0	0	0.05	0	0	0	0	0	0.779	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL1	1.504	0	0	0	0	0	0	0	0	0	0	0	0	0.824	0	0	0	0	0	0	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SMAL1	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	SMAL2	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	SMAL2	0.144	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL2	0.763	0	0	0	0	0	0	0	0	0	0	0	0	0.759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0
1995	SMAL2	60.644	0	0	0	0	0	0.007	0	0	0	0	0	0	47.906	0	0	0	0	0	0	0	0	0	0	12.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL2	0.234	0	0	0	0	0	0	0	0	0.034	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SMAL2	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL2	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL2	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL2	0.262	0	0	0	0	0	0	0	0	0	0	0	0	0.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL2	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SMAL2	2.899	0	0	0	0	0	0	0.124	0	0	0	0	0.016	2.759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL2	2.649	0	0	0	0	0	0	0	0	0	0	0	0	2.649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SMAL2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	SMAL3	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0
1992	SMAL3	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL3	0.188	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0
1995	SMAL3	18.591	0	0	0	0	0	0	0.124	0	0.04	0	0	0	16.812	0	0	0	0	0	0	0	0	0	0	0.892	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL3	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SMAL3	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL3	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL3	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL3	0.509	0	0	0	0	0	0	0	0	0	0	0	0	0.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL3	0.181	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SMAL3	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL3	0.139	0	0	0	0	0	0	0	0	0	0	0	0	0.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SMAL3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	SMAL4	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0
1992	SMAL4	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL4	0.127	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0
1995	SMAL4	9.641	0	0	0	0	0	0	0	0	0.008	0	0	0	9.058	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL4	0.063	0	0	0	0	0	0	0	0	0.024	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL4	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL4	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL4	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SMAL4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	TOBO	55.634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.497	0	0	0	0	0	0	0	0	0	0	0
1991	TOBO	99.189	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	71.164	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	27.984	0	0	0.022	0	0	0	0	0	0	0	0
1992	TOBO	23.864	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	9.611	0	0	0	0	0	0	0	0	0	0	0
1993	TOBO	75.556	0	0	0	0	0	0	0	0	0	0	0	0	1.635	0	0	0	0	0	0	0	35.207	0	0	0.082	0.001	0	0	0	0	0	0	0	0	0	0	0	0.154	0	0	0	0	38.477	0	0	0	0	0	0	0	0	0	0	0
1994	TOBO	112.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.264	0	0	0	0	0	0	0	0	0	0	0
1995	TOBO	21.492	0	0	0	0	0	0	0	0	0	0	0	0	8.231	0	0	0	0	0	0	0	0	0	0	0.01	0.015	0	0	1.79	0	0	0	0	0	0.681	3.775	0	0.003	0	0	0	0	6.987	0	0	0	0	0	0	0	0	0	0	0
1996	TOBO	18.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.237	0	0	0	0	0	0	2.758	0	0	0	0	0	0	0	0	0	0	0
1997	TOBO	0.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419	0	0	0	0	0	0	0	0	0	0	0
1998	TOBO	26.86	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	22.014	0	0	0	0	0	0	4.778	0	0	0	0	0	0	0	0	0	0	0
1999	TOBO	1.09	0	0.054	0	0	0	0	0	0	0	0	0	0	0.432	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0.049	0.362	0	0.003	0	0	0	0	0.067	0	0.003	0	0	0	0	0	0	0	0	0
2000	TOBO	0.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0.141	0	0	0	0	0	0	0	0	0	0	0
2001	TOBO	5.617	0	0	0	0	0	0	0	0	0	0	0	0	4.341	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0.488	0	0	0	0	0.755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TOBO	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0
2003	TOBO	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0
2005	TOBO	5.542	0	0.133	0	0	0	0	0	0	0	0	0	0	4.812	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.163	0	0	0	0	0	0	0.003	0	0.007	0	0	0	0	0.414	0	0	0	0	0	0	0	0	0	0	0
2007	TOBO	58.378	0.957	0	0	0	0	0	0	0	0	0	0	0.103	0.119	0	0	0	0	0	0	0	0	0	0	56.186	0	0.205	0	0.163	0.007	0	0	0	0.207	0	0	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	TOBO	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	TOBO1	63.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.94	0	0	0	0	0	0	0	0	0	0	0
1991	TOBO1	126.422	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	89.636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	36.766	0	0	0.011	0	0	0	0	0	0	0	0
1992	TOBO1	31.254	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	20.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.995	0	0	0	0	0	0	0	0	0	0	0
1993	TOBO1	91.282	0	0	0	0	0	0	0	0	0	0	0	0	1.591	0	0	0	0	0	0	0	54.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0	0	0	0	34.791	0	0	0	0	0	0	0	0	0	0	0
1994	TOBO1	116.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.466	0	0	0	0	0	0	0	0	0	0	0
1995	TOBO1	28.811	0	0.011	0	0	0	0	0	0	0	0	0	0	12.905	0	0	0	0	0	0	0	0	0	0	0.008	0.002	0	0	1.302	0	0	0	0	0	0.166	6.576	0	0	0	0	0	0	7.841	0	0	0	0	0	0	0	0	0	0	0
1996	TOBO1	30.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.502	0	0	0	0	0	0	2.696	0	0	0	0	0	0	0	0	0	0	0
1997	TOBO1	1.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.003	0	0	0	0	0	0	0	0	0	0	0
1998	TOBO1	29.151	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.126	0	0	0	0	0	0	4.675	0	0	0	0	0	0	0	0	0	0	0
1999	TOBO1	1.253	0	0	0	0	0	0	0	0	0	0	0	0	0.722	0	0	0	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
2000	TOBO1	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167	0	0	0	0	0	0	0	0	0	0	0
2001	TOBO1	9.111	0	0.013	0	0	0	0	0	0	0	0	0	0.008	8.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TOBO1	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0
2003	TOBO1	0.015	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TOBO1	4.223	0	0	0	0	0	0	0	0	0	0	0	0.162	4.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.003	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0
2007	TOBO1	42.49	2.904	0	0	0	0	0	0	0	0.016	0	0	0	0.124	0	0	0	0	0	0	0	0	0	0	36.099	0	0	0	0.488	0	0	0	0	0.398	0	0	0	0	2.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	TOBO1	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	TOBO2	89.726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.509	0	0	0	0	0	0	0	0	0	0	0
1991	TOBO2	215.493	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	171.812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	43.655	0	0	0.015	0	0	0	0	0	0	0	0
1992	TOBO2	43.821	0	0	0	0	0	0	0	0	0	0	0	0	0.187	0	0	0	0	0	0	0	30.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	13.576	0	0	0	0	0	0	0	0	0	0	0
1993	TOBO2	86.899	0	0	0	0	0	0	0	0	0	0	0	0	2.023	0	0	0	0	0	0	0	56.719	0	0	0.01	0.001	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	28.122	0	0	0	0	0	0	0	0	0	0	0
1994	TOBO2	199.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.788	0	0	0	0	0	0	0	0	0	0	0
1995	TOBO2	24.994	0	0	0	0	0	0	0	0	0	0.753	0	0	14.317	0	0	0	0	0	0	0	0	0.001	0	0.018	0	0	0	1.627	0	0	0	0	0	0	4.431	0	0.017	0	0	0	0	3.83	0	0	0	0	0	0	0	0	0	0	0
1996	TOBO2	23.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.422	0	0	0	0	0	0	1.742	0	0	0	0	0	0	0	0	0	0	0
1997	TOBO2	0.643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.562	0	0	0	0	0	0	0	0	0	0	0
1998	TOBO2	20.099	0	0	0	0	0	0	0	0	0	0	0	0	0.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.294	0	0	0	0	0	0	3.671	0	0	0	0	0	0	0	0	0	0	0
1999	TOBO2	1.435	0	0	0	0	0.001	0	0	0	0	0	0	0	1.036	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0.315	0	0	0	0	0	0	0	0	0	0	0
2000	TOBO2	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0
2001	TOBO2	4.088	0	0	0	0	0	0	0	0	0	0	0	0	4.077	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TOBO2	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0
2003	TOBO2	0.03	0	0	0	0	0	0	0	0	0	0	0	0.005	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TOBO2	9.956	0	0	0	0	0	0	0	0	0	0	0	0.081	9.691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184	0	0	0	0	0	0	0	0	0	0	0
2007	TOBO2	68.86	2.38	0	0	0	0	0	0	0	0	0	0	0.025	0.281	0	0	0	0	0	0	0	0	0	0	66.056	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0
2008	TOBO2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	TOBO3	86.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.697	0	0	0	0	0	0	0	0	0	0	0
1991	TOBO3	156.134	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	120.736	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	35.367	0	0	0.019	0	0	0	0	0	0	0	0
1992	TOBO3	36.717	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0	21.774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	14.863	0	0	0	0	0	0	0	0	0	0	0
1993	TOBO3	69.457	0	0	0	0	0	0	0	0	0	0	0	0	2.405	0	0	0	0	0	0	0	34.166	0	0	0.016	0.001	0	0	0	0	0	0	0	0	0	0	0	0.167	0	0	0	0	32.702	0	0	0	0	0	0	0	0	0	0	0
1994	TOBO3	122.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.748	0	0	0	0	0	0	0	0	0	0	0
1995	TOBO3	26.35	0.001	0.005	0	0	0	0	0	0	0	0	0	0	11.141	0	0.001	0	0	0	0	0	0	0	0	0.034	0	0	0	3.415	0	0	0	0	0	0.002	3.592	0	0	0	0	0	0	8.159	0	0	0	0	0	0	0	0	0	0	0
1996	TOBO3	24.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.999	0	0	0	0	0	0	2.748	0	0	0	0	0	0	0	0	0	0	0
1997	TOBO3	0.525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387	0	0	0	0	0	0	0	0	0	0	0
1998	TOBO3	28.449	0	0	0	0	0	0	0	0	0	0	0	0	0.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.086	0	0	0	0	0	0	6.687	0	0	0	0	0	0	0	0	0	0	0
1999	TOBO3	1.871	0	0	0	0	0	0	0	0	0	0	0	0	0.753	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	1.068	0	0	0.01	0	0	0	0	0	0	0	0
2000	TOBO3	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0	0	0	0	0	0.397	0	0	0	0	0	0	0	0	0	0	0
2001	TOBO3	15.771	0	0	0.027	0	0	0	0	0	0	0	0	0.004	15.556	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
