Year	site	total	ALIN	ALLI1	AMAR1	AMCH	AMFI	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPE	ARPU	ARPU1	ARTE	ARTE1	ARWR	ASCR	ASNU	ASSU	ASTE	ASTE1	ASTE2	ASTR1	BAAB	BABI	BAMU	BAPE	BOAR	BOCU	BOER	BOER1	BOSP	BOTO	BRAS1	CABA	CACH	CAJA	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	DAPU	DECO	DEPI	DEVI	DICA	DIWI	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUDE	EUGL	EUMI	EUPH1	EUSE	EUSR	EVNU	GAPI	GIFL	GILI1	GSDL1	HAGR	HEAN	HECI	HELI1	HEPE	HODR	HOGL	HYFL	HYOD	HYVE	IVAM	KALL1	KRAM1	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MATA	MEAL	MELE	MENT1	MEPU	MILI	MOCE	MUAR	MUPO	NAHI	NYCT1	OEAL	OENO1	OEPR	PAHA	PENA	PEPA	PHAC1	PHCO	PHIN	PLPA	PSTA	RANE	SACY	SAHA	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPCC	SPHA1	SPIN	SPOR1	SPSU	SPVEG	STAR	STEP1	STEX	STPA	TAAN	TAAU	TALI1	TECO	TILA	TOAN	UKFO1	UKFO2	UKFO3	UKGR1	UKGS1	VEEN	VEWR	VUOC	XASA	XASP	XATE
1999	BASN1	484.954	0	0	0	0	0	0	0	0	0	0	0	5.246	0	0	0	0	0	0	0	0	0	0	0.088	0	0	0	0	0	0.034	0	0	0	391.382	0	0	0	0	0	0	0	0	0	0	0	0	4.257	3.765	0	0.25	0	0	2.399	0	1.016	0	0	0	0.066	0	0	0	0.078	0	0	0	0	0	0	0.859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246	67.931	0	0	0	0	0	0	4.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.498	0
2000	BASN1	694.605	0	0	0	0	0	0	0	0	0	1.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN1	730.073	0	0	0	0	0	0	0	0	0	10.883	0	0	0	0	1.005	0	0	0	0	0	1.196	0	1.779	0	0	0	0	0	0.096	0	0	0	541.243	0	0	0	0	0	0	0	0	0	0.003	0	0	26.411	0	0	0.017	0	0	0.504	0	37.469	0	0	0	2.308	0	0	0	0.964	0	0	0	0	0	0	0.737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.372	0	0	0	0	0	0	0	0.976	0	0	0	0	0	0	0	0	0	81.493	0	0	0	0	0	0	8.656	0	0	0	0	0.863	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0
2002	BASN1	390.931	0	0	0	0	0	0	0	0	0	0.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321.737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.409	0	0	0	0	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN1	806.439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.663	0	0	0	0	0	0	0	0	658.886	0	0	0	0	0.099	0	0	0	0	2.638	0.132	0	0	5.271	0	0.047	0	0.202	0.027	0	6.532	0	0	0	0.161	0	0	0	0.095	0	0	0	0	0	0	29.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	84.252	0	0	0	0	0	0	15.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN1	122.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.939	0	0	0	0	0	0	0	0	0	3.581	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226	0.452	0	0.178	0.004	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.718	0	0	0	0	0	0	15.524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN1	630.707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.674	0	32.999	0	0	0	0	0	0.106	0	0	0	87.383	0	0	0	0	0.029	0	0	0	0	0.36	1.23	0	0	18.825	0	0.233	0	0	0	0	116.379	0	0	0	0.653	0	0	0	22.829	0	0	0	0	0	0	6.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.221	0	0	0	0	0	0	0	2.277	0	0	0	0	0	0	2.781	0	0.082	32.125	0	0	0	0	3.619	0	13.972	0	0	0	0	0.431	0	86.753	0	0	0.499	2.251	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN1	185.491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN1	628.045	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.268	0	0	0	3.171	0	4.802	0.35	0	0	154.31	0	0	0	0	0.055	0	0	0	0	0	0	0	0	14.307	0	0	0	0	1	0	1.481	0	0	0	0.094	0	0	0	0.747	0	0	0	0	0	0	3.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	0	0	0	128.402	0	0	0.627	0.007	0	0	0	1.465	0	8.357	0	0	0	0	2.985	0	0.287	25.483	1.438	0	0	0	0	0	10.517	0	0	0	0.415	3.019	0	0	0	0	0.499	1.02	0	0	0	0	0	0	0	0	1.271	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	5.589	0
2008	BASN1	440.894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	BASN2	666.648	0	0	0	0	0	0	0	0	0	0	29.468	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	492.53	0	0	0	0	0	0	0	0	0	0.011	0	0	0.065	0	0	8.159	0	0	0	0	0.007	0	0	0	0	0	0	0	0.02	0	0	0	2.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.72	0	0	0	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0	26.323	0	0	0	0	0	0	12.561	0	0	0	0	0	0	0	0	0	1.255	0	0	0	0	0	0	0	0	0	37.898	48.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN2	490.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.526	0	0	0	27.56	0	0	0	0.059	0	0.114	0	0	0	399.513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	12.548	0	0	0	0	0	0	2.234	0	0	0	0	0	0	0	0	0	0.131	0	0	0	0	0	0	0	0	0	1.788	25.531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	BASN2	777.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.273	0	0	0	0	0	0	0	0	0	0.056	0	0	0	669.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.307	0	0	0	0	0	0	1.496	0	0	0	0	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	30.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	BASN2	700.352	0	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.497	0	0	0	3.711	0	0	0	9.771	0	0	0	0	0	591.739	0	0	0	0	0	0	0	0	1.588	0	0	0	0	0	0	7.163	0	0	0	0	0	0	0	0	0	0	0	0	0.055	0	0	0	1.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.445	0	0	0	0	0	0	7.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.404	37.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	BASN2	690.002	0	0	0	0	0	0.015	0	0	0	0.089	35.942	0	0	0	0	0	0	0	0	0	0	0	0.642	0	0	0	0	0	0	0	0	0	519.574	0	0	0	0	0	0	0	0	0	0.795	0	0	1.963	0	0	3.456	0	0	0	0	0	0	0	0	0.394	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36	0	0	3.393	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0	78.634	0.013	0	0	0	0	0	6.584	0	0	0	0	0	0	0	0	0	0.427	0	0.129	0	0	0	0	0	0	28.61	3.447	2.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149
1994	BASN2	618.49	0	0	0	0	0	0	0	0	0	16.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.909	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN2	643.131	0	0	0	0.007	0	0	0	0	0	7.701	0.569	0	0	0	0	0	0	0	0	0	0.133	0	2.2	0	0	1.551	0.025	0	0.051	0	0	0	419.093	0	0	0	0	0	0	0	0	0	0.243	0	0	0	38.403	0.159	0.676	0	0	0	0	1.056	0	0	0	0.128	0	0	0	2.398	0	0	0	0	0	0	3.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24	0	0	53.048	0	0	0	0	0	0	0	1.138	0	0.434	0	0	0	0	0	0	0	96.518	0	0	0	0	0.104	0	4.751	0	0	0.216	0	2.587	0	0	0	0	0	0	0	0	0	0	0	0	0	2.544	1.598	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047
1996	BASN2	357.737	0	0	0	0	0	0	0	0	0	0.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267.698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.536	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	BASN2	517.426	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	3.349	0	0	0	0	0.093	0	0	0	0	0	0.148	0	0	0	0	0	382.428	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	2.016	0	0.012	3.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.425	0	0	0	0	0	0	2.234	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	1.239	0.504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN2	639.35	0	0	0	0.217	0	0	0	0	0	4.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459	0	0	0	0	0	468.462	0	0	0	0	0	0	0	0	0.004	0.001	0	0	0	0	0	1.739	0	0	5.251	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0.109	0	0	0	0	0	0	0	148.975	0	0	0	0	0	0	7.599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	BASN2	825.389	0	0	0	0.11	0	0	0	0	0	0	15.069	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0.111	0	0.004	0	0	0	629.091	0	0	0	0	0	0	0	0	0	0	0	0	3.4	15.813	0	0.315	0	0	1.682	0	1.053	0	0	0	0.028	0	0	0	1.614	0	0	0	0	0	0	2.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0.483	0	0	0	0	0	0	0	149.046	0	0	0	0	0	0	3.971	0	0	0	0	0.863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0
2000	BASN2	665.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN2	893.752	0	0	0	0.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.856	0	0.986	0	0	0	0.172	0	0.163	0	0	0	631.975	0	0	0	0	0	0	0	0	0	0	0	0	41.771	14.307	0.644	0.676	0	0	2.946	0	36.779	0	0	0	2.934	0	0	0	2.484	0	0	0	0	0.196	0	0.567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.538	0	0	0	0	0	0	0	3.253	0	6.2	0	0	0	0	0	0	0	113.5	0	0	0	0	0	0	9.44	0	0	2.062	0	6.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN2	558.981	0	0	0	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466.534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.385	0	0	0	0	0	0	1.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN2	937.779	0	0	0	2.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.393	0	0	0	0	0	0	0	0	0	682.936	0	0	0	0	0	0	0	0	0	0.417	0	0	0	10.542	0	0.338	0	0	8.463	0	3.774	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0	219.759	0	0	0	0	0	0	5.758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN2	115.14	0	0	0	0.549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.051	0	0	0	0	0	0	0	0	0	1.442	0	0	0	0	0	0.449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.597	0	0	1.243	0.085	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.415	0	0	0	0	0	0	5.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN2	761.88	0	0	0	0.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.156	0	144.189	0	0	0	0.811	0	0.166	0	0	0	66.984	0	0	0	0	0	0	0	0.467	0	0.017	0	0	0	22.59	0.376	1.508	0	0	0.08	0	97.693	0	0	0	1.022	0	0	0	14.611	0	0	0	0	0	156.928	27.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.598	0	0	0	0	0	0	0	2.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.092	0	0	0	24.27	4.313	0	0	0	0	5.888	0	0	0	0	0	0	0	0	0	2.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN2	150.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN2	690.368	0	0.272	0	0.028	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.326	0	245.45	0	0	0	1.153	0	3.765	0	0	0	108.722	0	0	0	0	0.135	0	0	0	0	0	0	0	0.081	9.036	0	2.15	0	0	3.492	0	1.204	0	0	0	0.415	0	0	0	2.542	0	0	0	0	0	19.892	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.086	0	0	0	0	0	4.956	0	0.326	0	6.553	0	0	0	0.55	0	0	0	0	4.49	0	0	0	0	0	3.705	0	0.539	0	0	55.201	0	0	0	0	0.221	0	0.055	0	0	0	0	0	0	0	4.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.68	0
2008	BASN2	308.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308.623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	BASN3	631.212	0	0	0	0	0	0	0	0	0	0	48.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	1.906	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.76	0	0	0	0	0	0	18.294	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	3.019	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN3	477.493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.124	0	0	0	23.883	0	0	0	0.007	0	0	0	0	0	368.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427	0	3.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.91	0	0	0	0	0	0	2.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	1.064	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	BASN3	519.753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.764	0	0	0	0	0	0	0	0	0	0.012	0	0	0	420.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.626	0	0	0	0	0	0	0.924	0	0	0	0	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.462	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0
1992	BASN3	622.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.728	0	0	0	0	0	0	0	0.322	0	0	0	0	0	424.933	0	0	0	0	0.124	0	0	0	1.397	0	0	0	0	0	0	2.57	0	0	0	0	0	0	0	0	0	0	0	0	0.181	0	0	0	0.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.973	0	0	0	0	0	0	17.374	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	2.803	0	0	0	0	0	0	0	0.523	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	BASN3	676.025	0	0	0	0	0	0	0	15.236	0	0	35.83	0	0	0	0	0	0	0	0	0	0	0	0.318	0	0	0	0.127	0	0.02	0	0	0	474.195	0	0	0	0	0.055	0	0	0	0	0.07	0	0	0	2.259	0	2.389	0	0	0	0	1.863	0	0	0	0	0	0	0	1.152	0	0	0	0.653	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.681	0	0	0	0	0	0	0	0	0	0.271	0	0	0	0	0	0	0	118.501	0.297	0	0	0	0	0	10.303	0	0	0	0	4.745	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	5.799	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0.155
