Year	site	total	ALIN	ALLI1	AMAR1	AMCH	AMFI	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPE	ARPU	ARPU1	ARTE	ARTE1	ARWR	ASCR	ASNU	ASSU	ASTE	ASTE1	ASTE2	ASTR1	BAAB	BABI	BAMU	BAPE	BOAR	BOCU	BOER	BOER1	BOSP	BOTO	BRAS1	CABA	CACH	CAJA	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	DAPU	DECO	DEPI	DEVI	DICA	DIWI	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUDE	EUGL	EUMI	EUPH1	EUSE	EUSR	EVNU	GAPI	GIFL	GILI1	GSDL1	HAGR	HEAN	HECI	HELI1	HEPE	HODR	HOGL	HYFL	HYOD	HYVE	IVAM	KALL1	KRAM1	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MATA	MEAL	MELE	MENT1	MEPU	MILI	MOCE	MUAR	MUPO	NAHI	NYCT1	OEAL	OENO1	OEPR	PAHA	PENA	PEPA	PHAC1	PHCO	PHIN	PLPA	PSTA	RANE	SACY	SAHA	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPCC	SPHA1	SPIN	SPOR1	SPSU	SPVEG	STAR	STEP1	STEX	STPA	TAAN	TAAU	TALI1	TECO	TILA	TOAN	UKFO1	UKFO2	UKFO3	UKGR1	UKGS1	VEEN	VEWR	VUOC	XASA	XASP	XATE
1999	BASN	302.803	0	0	0	0	0	0	0	0	0	2.791	0	0	0	0	0	0	0	0	0	0	0	0	0.242	0	0	0	0.458	0	0.013	0	0	0	254.458	0	0	0	0	0	0	0	0	0	0	0	0	6.121	0.753	0	2.5	0	0	2.159	0	0.133	0	0	0	0.04	0	0	0	1.03	0	0	0	0	0	0	2.272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24	0	0	0.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.539	0	0	0	0	0	0	0	2.942	0	0.332	0	0	0	0	0	0	0	0	0	20.513	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385	0
2000	BASN	380.303	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN	719.856	0	0	0	0.041	0	0	0	0	0	0	0	5.581	0	0	0	0	0	0	0	0	0.53	0	1.007	0	0	6.891	0	0	0.166	0	0	0	483.717	0	0	0	0	0	0	0	0	0	0	0	0	32.197	0	0.836	5.391	0	7.497	0	0	14.155	0	0	0	3.351	0	0	0	5.631	0	0	0	0	0	0	56.345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	1.12	0	0	43.504	0	0	1.848	0	0	0	0	1.14	0	0	0	0	0	0	0	0	8.087	0	0.006	0	0	0	0	0	8.065	0	0	2.248	0	0	0	0	0	0	0	0	29.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN	388.677	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	1.004	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	7.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN	700.244	0	0	0	0.026	0	0	0	0	0	0	6.362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624.144	0	0	0	0	0	0	0	0	0	0.065	0	0	0	11.295	0	3.969	0	0	0.352	0	4.608	0	0	0	0.031	0	0	0	2.163	0	0	0	0	0	0	5.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	3.608	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	2.662	0	0	0	0	0	0	0	5.967	0	0	0	0	0	0	0	0	0	0	0	28.848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN	183.275	0	0.139	0	0.308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	153.848	0	0	0	0	0	0	0	0	0	0.762	0	0	0	0.753	0	1.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0.271	0	0	0.32	0.019	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	1.397	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.548	0	0	0	0	0	0	0	5.338	0	0	0	0	0	0	0	0	0	0	0	12.691	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.021	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN	651.411	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.433	0	16.897	0	0	0	0	0	0	0	0	0	104.825	0	0	0	0	0	0	0	0	0	0	0	0	0	40.662	0.293	5.699	0	0	0	0	94.05	0	0	0	0.45	0	0	0	22.129	0	0	0	0	0	0	30.789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	0	0	0	261.81	0	0	0	0	0	0	0	2.278	0	0	0	0	0	0	0	0	0.123	0	0	0	0	0	0.408	0	3.504	0	0	20.986	0	0.431	0	6.444	0	0	0.585	0	21.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN	148.854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN	669.653	0	0.014	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.926	0	0	0	0	0	6.08	0	0	0	102.919	0	0	0	0	0.007	0	0	0	0.148	0	0	0.09	0	17.319	0	13.148	0	0	0.413	0	0.975	0	0	0	0.078	0	0	0	2.072	0	0	0	0	0	0	8.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.753	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	6.498	0	1.1	0	0	0	0	0	3.536	0	0	0	0	7.763	0	0	0	0	0.013	1.21	30.218	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	17.144	0	0	3.782	0
2008	BASN	292.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
