Year	site	total	ACWR	AMAR	AMAR1	AMPA	AMPU	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPU	ARPU1	ARWR	ASNU	ASTE	ASTE1	ASTR1	BAAB	BAMU	CABA	CAJA	CHIN	COCO	CONI	CRAN	CRCR	CRMI	CRPO	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERDV	ERIO1	ERPU	ERRO	EUAL	FABA1	HAGR	HEHU	HOGL	LEGO	LESQ1	LIVE	MACH1	MALI	MAPI	MEPU	MSDL1	MUPO	NAHI	PECT1	PEPA	PHAC1	PHIN	POOL	PORT1	PSTA	SAKA	SCAR	SELE	SOEL	SPIN	SPOR1	SPSU	SPVEG	TECO	TILA	UKFO1	UKFO8	UKGR1	UKGR2	UKGS1	XASA	XASP1
2005	NORT3	135.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167	0	0	0	96.34	0	0.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.183	0	0	0	0	31.852	0	0	0	1.155	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2007	NORT3	2480.427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.406	0	0	0	0	0	0	0	0	0	0	4.759	0.133	1459.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.182	11.148	0	0	0	248.84	0	0.004	0	8.44	0	13.924	0	0	474.317	0	0	0.022	0	0	0.076	0	0	0	0	0
2008	NORT3	0.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371	0	0	0	0	0	0	0	0	0	0	0
1989	NORT4	1.314	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.271	0	0	0	0	0	0	0	0	0	0
1990	NORT4	8.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	2.779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.524	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0.41	0	0.249	0	0	0	0	0	0	0	0
1991	NORT4	7.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.018	0	0	0	0	0	0	0	0
1992	NORT4	17.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.536	0	0	0	0	0	0	0	0	4.575	0	0	0	0	0	0	0	0.762	0	0	0	0	0	0	0	0	0	0	0	0	3.057	0	0	0	0	0	0	0	0	0	0	0	1.912	0	0	3.109	2.904	0	0	0	0	0	0	0	0	0
1993	NORT4	5.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.587	0.726	0	0.597	0	0	0	0	0	0	0	0
1995	NORT4	10.763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0.003	0	0.045	0	0	0	0	0	0	0	0
1997	NORT4	16.568	0	0	0.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286	0.177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.065	0	0	0	0	0	0.358	0	0	0	0	0	0.193	0	1.848	0.182	0	1.232	0	0	0	0	0	0	0	0
1998	NORT4	0.187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	NORT4	0.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0.06	0	0	0	0	0	0	0	0
2001	NORT4	33.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.447	0.097	0	0	0	0	0	0	0.559	0	0	0	0	0	0	0	0	0	0	0	0	9.25	0	0	0	0	0	0	0	0	0	0	2.663	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0
2002	NORT4	9.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	NORT4	19.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224	0	0	0	0	0	0	0	0
2004	NORT4	3.18	0	0	0	0	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.041	0	0	0	0	0	0	0
2005	NORT4	40.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753	0	0	0	0	38.422	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.761	0	0	0.896	0	0	0	0	0	0	0	0
2006	NORT4	15.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.584	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0
2007	NORT4	3285.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.979	0	0	0	0	0	0	0	0	0	0	16.941	0.281	2484.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.137	1.917	0	0	0	0	0	0	0	2.479	0	16.975	9.442	0	394.861	11.22	0	6.832	0	0	0	0	0	0	0	0
2008	NORT4	177.686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.746	0	0	0	0	0	0	0	0	0	0	0	0	0	1.233	0.036	0	0.261	0	0	0	0	0	0	0	0
1989	RABB	154.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	15.181	0	0	0	0	0	0	0	0	0	0	0	0	134.846	0	0	0	0	0	0	0	0	0.167	0	0	0	0	0	0	4.718	0	0	0	0	0	0	0	0	0
1990	RABB	130.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.712	0	6.183	0	0	0	0	0	0	0	0	0	0	0	0	106.978	0	0	0	0	0	0	0	0	5.556	0	0	0	0	0	0	3.391	0	0	0	0	0	0	0	0	0
1991	RABB	157.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.105	0	1.158	0	0	0	0	0	0	0	0	0	0	0	0	129.314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217	0	0	0	0	0	0	0	0	0
1992	RABB	206.986	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222	0	0	0	0	0	40.491	0	5.425	0	0	0	0	0	0	0	0	0	0	0	0	150.405	0	0	0.183	0	0	0.696	0	0	0	0	0	0	0	0	0	9.516	0	0.003	0	0	0	0	0	0	0
1993	RABB	276.792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	16.881	0	0	0	0	0	29.776	0	4.062	0	0	0	0	0	0	0	0	0	0	0	0	215.754	0	0	0	0	0	0	0	0	0.534	0	0	0	0	9.783	0	0	0	0	0	0	0	0	0	0	0
1994	RABB	258.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.351	0	0.374	0	0	0	0	0	0	0	0	0	0	0	0	239.957	0	0	0	0	0	0	0	0	0	0	0	0	0	6.283	0	0	0	0	0	0	0	0	0	0	0
1995	RABB	316.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0.084	0	0	0.665	115.235	0	0	0	0	0	0	0	1.616	0	0	0	0	0	0	0	0	0	0	0	0	197.636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967	0	0	0	0	0	0	0	0	0	0.413	0
1996	RABB	165.09	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.789	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0
1997	RABB	200.318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432	0	0	0	0	0	0	0	0	0	0	7.533	0	0	0	0	0	0	0	0	0.512	0	0	0	0	0	0	0	0	0	0	0	0.006	187.989	0	0	0	0	0	0	0	0	1.036	0	0	0	0	0.635	0	2.174	0	0.001	0	0	0	0	0	0	0
1998	RABB	174.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	23.441	0	0	0	0	0	0	0	0	2.299	0	0	0	0	0	0	0	0	0	0	0	0	147.708	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.683	0	0	0	0	0	0	0	0	0
1999	RABB	225.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272	0	0	0	0	0	0	0	0	0	0	16.628	24.559	0.073	0	0	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0	183.01	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB	181.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	180.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB	273.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0.017	0	0	21.29	53.911	0.484	0.004	0	0	0	0	0	4.377	0	0	0	0	0	0	0	0	0	0	0	0	191.343	0	0	0	0	0	0	0	1.017	0.109	0	0	0	0	0.435	0	0	0	0	0	0	0	0	0	0	0
2002	RABB	267.349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB	359.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19	74.219	0	0	0	0	0	0	0	0.376	0	0	0	0	0	0	0	0	0	0	0	0	280.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	RABB	401.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0.753	0	0	0	0.282	0	0	0	0	0	0	0	0	2.238	0	0	0	0	0	0	0	0	0	0	0	0	398.245	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0
2005	RABB	230.304	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0.484	0	0	0	0	0	0	1.506	0.778	0	0	0.376	112.65	2.538	0.003	0	0	0	0	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0	111.058	0.625	0	0	0	0	0	0	0.003	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0
2006	RABB	38.918	0	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0
2007	RABB	4850.285	0	0	0	0	0	0	0	0	0	0	0	1.538	32.536	0	0	0	0	0	0	0	58.821	0.067	0	0	0	0	0	0	0	0	0	47.618	0	3846.667	0.01	0	0	0	0	0	0.155	0	0	0	0	0	0	0	0	0	0	0	0.001	616.731	22.479	0.181	0	0.033	0.058	0	0	0	0.228	0.1	0	0	0	223.062	0	0	0	0	0	0	0	0	0	0	0
2008	RABB	94.212	0	0	0	0	0	0	0	0	0	3.845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0.908	0	0	0	0	0	0	0	0	0	0	0
1989	RABB1	18.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247	0	0	0	0	0	0	1.695	0	0	0	0	0	0	0	0	0
1990	RABB1	29.844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.694	0	8.324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.648	0	0	0	0	0	0	8.175	0	0.003	0	0	0	0	0	0	0
1991	RABB1	10.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.049	0	1.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.317	0	0	0	0	0	0	0	0	0
1992	RABB1	40.451	3.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.842	0	0	0	0	0	7.026	0	14.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	1.132	0	0	0.516	0	0	0	0	0	0	13.521	0	0.026	0	0	0	0	0	0	0
1993	RABB1	37.988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	18.229	0	0	0	0	0	2.29	0	9.946	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.206	0	0	0	0	0	0	0	2.254	0	0	0	0	0.792	0	4.252	0	0	0	0	0	0	0	0	0
1994	RABB1	4.327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.505	0	0.788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.825	0	0.209	0	0	0	0	0	0	0	0	0
1995	RABB1	127.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0.117	0	0	0	121.074	0.242	0	0	0	0	0	0	1.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0.333	0	0	0	0	0.261	0	0	0	0	0	0	0	0	0	3.905	0
1996	RABB1	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.189	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	15.396	0
1997	RABB1	34.487	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186	0.067	0	0	0	0	0	0	0	0	0	8.55	0	0	0	0	0	0	0	0	1.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0.02	24.432	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0
1998	RABB1	8.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	6.618	0	0	0	0	0	0	0	0	1.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	RABB1	3.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0	0	0	0	0	0	0	0	0	0	2.416	0.894	0	0	0	0	0	0	0	0.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB1	2.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.007	0	0	0	0	0	0	0	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB1	79.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308	0	0	0	0	0	0	0	0	0	0	11.29	62.083	1.658	0	0	0	0	0	0	2.741	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0	0	0	0	0.294	0	0	0	0	0	0	0	1.304	0	0	0.093	0	0	0	0	0	0
2002	RABB1	4.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.121	0	0	0	0	0	0	0	0	0.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB1	98.927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0.005	0	0	1.788	92.144	3.92	0	0	0	0	0	0	1.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	RABB1	3.412	0.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783	0	0	0	1.811	0	0	0	0	0	0	0
2005	RABB1	508.634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.402	0	0	0	0	0	0	0	0.328	0	0	0.063	101.724	382.83	0	0	0	0	0	0	0.382	0	0	0	0	0	0	0	0	0	0	0	0	0	1.158	0	0	0	0	0	0	0	21.356	0	0	0	0	0.391	0	0	0	0	0	0	0	0	0	0	0
2007	RABB1	3365.771	0	0	0	0	0	0	0	0	0	2.307	0	0	8.045	0	0	0	0	0	0	0	90.735	1.06	0	0	0	0	0	0	0	0	0	40.333	0	2802.272	0.026	0	0	0	0	0	2.657	0	0	0	0	0	0	0	0	4.473	0	0	0	0	26.264	0.002	0	0	0.083	0	0	0	0	0	0	0	0	369.774	0	17.74	0	0	0	0	0	0	0	0	0
2008	RABB1	3.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.877	0	0	0	0	0	0	0	0	0	0	0
1989	RABB2	2.611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	2.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	RABB2	47.583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.916	0	10.787	0	0	0	0	0	0	0	0	0	0	0	0	17.772	0	0	0	0	0	0	0	0	7.89	0	0	0	0	0	0	2.387	0	0	0	0	0	0	0	0	0
1991	RABB2	30.779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.896	0	0.816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	RABB2	166.235	0.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.158	0	17.597	0	0	0	0	0	0	0	0	0	0	0	0	82.291	0	0	0.19	0	0	1.713	0	0	0.077	0	0	0	0	0	0	19.043	0	0.005	0	0	0	0	0	0	0
1993	RABB2	97.02	0	0	0	0	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	21.939	0	0	0	0	0	15.945	0	9.174	0	0	0	0	0	0	0	0	0	0	0	0	43.289	0.488	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	5.109	0	0	0	0	0	0	0	0	0
1994	RABB2	128.238	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.19	0	1.178	0	0	0	0	0	0	0	0	0	0	0	0	117.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	RABB2	98.205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.278	0	0	0	0	0	0	0	1.597	0	0	0.458	28.031	0.653	0	0	0	0	0	0	4.465	0	0	0	0	0	0	0	0	0	0	0	0	61.683	0	0	0	0	0	0	0	0.026	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	RABB2	16.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	14.798	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0
1997	RABB2	35.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515	0	0	0	0	0	0	0	0.134	0	0	19.453	0	0	0	0	0	0	0	0	3.927	0	0	0	0	0	0	0	0	0	0	0	0	10.961	0	0	0	0	0	0	0	0	0.205	0	0	0	0	0.122	0	0	0	0	0	0	0	0	0	0	0
1998	RABB2	52.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.197	0	0	0	0	0	0	0	0	2.606	0	0	0	0	0	0	0	0	0	0	0	0	26.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304	0	0	0	0	0	0	0	0	0	0	0
1999	RABB2	34.328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416	0	0	0	0	0	0	0	0	0	0	3.989	0	0.015	0	0	0	0	0	0	1.071	0	0	0	0	0	0	0	0	0	0	0	0	28.836	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB2	26.204	0	0	0	0	0	0	0	0	0	0	0	0.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.724	0	0	0	0	0	0	0	0	0.328	0	0	0	0	0	0	0	0	0	0	0	0	15.559	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB2	125.665	0	0	0	0	0	0	0	0	0	0.035	0	2.839	5.679	0	0	0	0	0	0.032	0	2.564	0	0	0	0	0	0	0	0.803	0	0	41.043	11.335	0.184	0	0	0	0	0	0	6.559	0	0	0	0	0	0	0	0	0	0	0	0	54.561	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	RABB2	158.4	0	0	0	0	0	0	0	0	0	0.805	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	6.098	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	151.373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB2	86.621	0	0	0	0	0	0	0	0	0	3.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.079	12.242	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	56.774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522	0	0	0	0	0	0	0	0	0
