Year	site	total	ACWR	AMAR	AMAR1	AMPA	AMPU	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPU	ARPU1	ARWR	ASNU	ASTE	ASTE1	ASTR1	BAAB	BAMU	CABA	CAJA	CHIN	COCO	CONI	CRAN	CRCR	CRMI	CRPO	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERDV	ERIO1	ERPU	ERRO	EUAL	FABA1	HAGR	HEHU	HOGL	LEGO	LESQ1	LIVE	MACH1	MALI	MAPI	MEPU	MSDL1	MUPO	NAHI	PECT1	PEPA	PHAC1	PHIN	POOL	PORT1	PSTA	SAKA	SCAR	SELE	SOEL	SPIN	SPOR1	SPSU	SPVEG	TECO	TILA	UKFO1	UKFO8	UKGR1	UKGR2	UKGS1	XASA	XASP1
2007	NORT	1455.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.247	1.454	0	0	0	0	0	0	0	0	0	11.659	2.983	1188.851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.883	0	0	0	0	239.715	0	0	0	0	0	0	0	0	0	0	0
2008	NORT	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.793	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227	0	0	0	0	0	0	0	0	0	0	0
1989	NORT1	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0
1990	NORT1	1.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304	0.261	0	0	0	0	0	0	0	0	0
1991	NORT1	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0
1992	NORT1	5.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361	0	0	0	0	0	0.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0.261	0	0	0	0	0	4.389	0	0	0	0	0	0	0	0	0	0
1993	NORT1	3.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0.087	0.302	0	0	0	0	0	0	0	0	0	0
1995	NORT1	7.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0
1996	NORT1	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	NORT1	5.306	0	0	0.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.381	0.676	0.725	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	2.514	0	0	0	0	0	0.551	0	0	0.012	0	0	0	0	0.326	0	0	0	0.002	0	0	0	0	0	0	0
1999	NORT1	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	NORT1	37.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.162	0	0	0	0	0	0	0	0	0	0	0.166	0	0	0.304	0	0	0	0	0	0	0	0	0	0	0
2002	NORT1	64.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	NORT1	26.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	NORT1	42.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	NORT1	53.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0	0	0	0	0	0	0	0	0	0	0	52.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	NORT1	40.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	NORT1	1881.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.822	1.719	0	0	0	0	0	0	0	0	0	17.607	0.035	1123.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357.675	12.319	0	0	0	0	0	0	0	3.615	0.35	41.827	0	0	319.542	0	0	0	0	0	0	0	0	0	0	0
2008	NORT1	459.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902	0	0	0	0	0	0	0	0	0	0	0
