year	site	Total.Of.area	Agropyron.smithii	Allium.drummondii	Allium.spp_	Ambrosia.psilostachya	Ambrosia.spp_	Andropogon.gerardii	Arenaria.stricta	Aristida.longiseta	Aristida.purpurea	Asclepias.pumila	Asclepias.viridiflora	Asclepias.viridis	Aster.ericoides	Aster.fendleri	Aster.oblongifolius	Astragalus.mollissimus	Bouteloua.curtipendula	Bouteloua.gracilis	Bouteloua.hirsuta	Brickellia.eupatorioides	Buchloe.dactyloides	Callirhoe.involucrata	Calylophus.lavandulifolius	Calylophus.serrulatus	Carex.gravida	Carex.heliophila	Carex.praegracilis	Carex.spp_	Castilleja.sessiliflora	Chamaesyce.polygonifolia	Chamaesyce.spp_	Chamaesyce.stictospora	Chenopodium.album	Chenopodium.leptophyllum	Chloris.verticillata	Chloris.virgata	Cirsium.ochrocentrum	Cirsium.undulatum	Comandra.umbellata	Dalea.candida	Dalea.purpurea	Echinacea.angustifolia	Echinacea.pallida	Elymus.canadensis	Erigeron.strigosus	Erysimum.asperum	Evolvulus.nuttallianus	Gaura.coccinea	Grindelia.squarrosa	Haplopappus.spinulosus	Hedeoma.drummondii	Hedyotis.nigricans	Helianthus.maximiliani	Hybanthus.verticillatus	Hymenoxys.scaposa	Lesquerella.ovalifolia	Leucelene.ericoides	Liatris.punctata	Lithospermum.incisum	Lomatium.macrocarpum	Megapterium.fremontii	Mentzelia.decapetala	Mentzelia.oligosperma	Mirabilis.linearis	Muhlenbergia.cuspidata	Oenothera.macrocarpa	Onosmodium.molle	Oxalis.spp_	Oxalis.stricta	Oxytropis.lambertii	Panicum.virgatum	Paronychia.jamesii	Penstemon.albidus	Poa.arachnifera	Polygala.alba	Polygala.spp_	Psoralea.cuspidata	Psoralea.tenuiflora	Ratibida.columnifera	Salvia.azurea	Schedonnardus.paniculatus	Schizachyrium.scoparium	Schrankia.uncinata	Scutellaria.resinosa	Short.grass	Sitanion.hystrix	Solidago.glaberrima	Solidago.mollis	Solidago.rigida	Solidago.spp_	Sorghastrum.nutans	Sphaeralcea.coccinea	Sporobolus.asper	Sporobolus.cryptandrus	Sporobolus.neglectus	Thelesperma.megapotamicum	Townsendia.exscapa	Tragia.ramosa	Tridens.flavus	Verbena.bipinnatifida	Verbena.bracteata	Vicia.americana
42	kansas	169.5524971	0	0	0	0.721756215	0	52.01164005	1.433582575	0	0	0	0	0	0.717210931	0.702526525	16.80356731	0	133.5089189	351.0347035	55.64986759	0	505.8415023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85279012	0	0	0	0.77707393	0	0	0	0	0.689680934	1.733310299	0	0.759390235	0.685159624	0	0	0	0.685162246	0	35.15698448	0.693591118	0	0	0	0	0	0	0	0	0	0	0	0	200.9819089	7.386656629	0	0	0	0	0	1.145057112	0.827993442	0	0	86.52156603	0.68967247	1.088396967	0	0	0	0.937651095	0	0	0	0.71558655	44.82440964	59.45047058	57.15866755	0.746562219	0	0.688169619	0	0	0	0
43	kansas	147.178788	0	0	0	0.708989683	0	36.53870841	0.740846395	31.3701115	0	0	0	0	0.712218243	0	1.85714138	0	97.19983373	188.1293204	27.30944879	0	475.1076168	0	1.141548383	0.70073373	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712515414	0	0	0.705029667	0.717364341	0	0	0	0	0.924090723	0.711355596	0	0.482836276	0	0.738654775	0	0.735710502	0.735717809	0.748598099	0.70680745	0.915699532	0	0	0.730726123	0	0	0	0	0	0	0	0	0	38.67564868	0.761273544	1.47479236	0	0	0	0	0.709677074	0.671404622	0	38.66244197	65.80265158	0.720653027	7.378427144	0	0	0.704683891	0.721358319	0	0	0	0.723851077	31.71712533	44.67599787	0	0.816241654	0	0.733613268	0	0	0	0
44	kansas	148.6757833	0	0	0	0.763622911	0	40.91546959	1.174858602	19.495904	35.4553871	0	0	0	0.702397324	0.703453277	0	0.698860765	130.5619627	160.9715674	47.4609826	0	776.7212681	0	0	0.714236244	0	0	0	0	0	0	0	0	0	0	0	0	0	0.719605506	0	0	1.157623363	0.714778437	0	0	0	0.697889596	0.705876255	0.748283022	0.658264816	0.711190442	0	0.704218437	0	0.701313694	0.71080966	0.702636838	0.723900427	0.701054493	0.698072135	0	0	0	0	0	20.50461067	0	0	0	0	0	13.32695584	0.706565489	0	0	0	0	0	0.700127475	0.71714294	0	22.60143355	95.07303497	0.711477419	0.699315443	0	6.934776112	0.735387945	0.688424717	0	2.26632929	0	0.712450381	36.20146512	38.73694508	0	0.690473655	0	0.697999561	0	0	0	0
45	kansas	102.348544	0	0	0	0.732213093	0	92.44454782	0.969555795	33.65135095	34.2635269	0	0	0	0.729510286	0.742922091	0	0	50.94076158	102.0404097	37.2638685	0	514.3238101	0	1.89485356	0.731471011	4.72686195	0	0	0	0	0	0	0	0	0	0	0	0	0.727950328	0	0	1.02394014	0.797807131	0.739851614	0	0	0	0.659067154	0.728162146	0	0.735788325	0	0.739743309	0.738945246	0.740528151	0.740526299	0.744716704	0.726937661	1.126391988	0.740079323	0	0	0	0	0	0	0	0	0	0	0	28.73942949	0.760027861	0.72560215	0	0	0	0	0.714346045	0.733606279	0	15.33228636	85.24776837	0.739182741	0.9929138	0	0	0.725596893	0.720616411	0	0	0	0.732552835	27.98323868	33.56369441	0	0.788438038	0	0.752051324	0	0	0	0
46	kansas	126.9284585	0	0.74017039	0	0.713128228	0	99.77966116	75.10002657	76.1389616	34.6635399	0	0	0	0.733787504	0.741472175	0	0	57.47802904	97.83904817	36.57324694	0	529.6555874	0	0	0.736611986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74303224	0	0	0.749378955	0.856099085	0	0	0	0	0.742487562	0.746773541	0	0.743583352	0	0.741273321	0	0.733181351	0.73750031	0.74959296	0.744112608	0.749599556	0	0.74255842	0	0	0	0	0	0	0	0	0	0	16.91054752	0.749579828	0	0	0	0	0.742194176	0.723147228	0.742906332	0	21.5685234	89.44022027	0.741628766	0.745079545	0	0	0.741677978	0.735241933	0.757559896	0	0	0.738384855	32.51476023	22.84276277	0	0.740184459	0.740691006	0.738341844	0	0	0	0
47	kansas	122.1893132	363.227936	0	0	0.708249971	0.724538058	73.65627893	0.736084978	40.89881433	69.430542	0	0	0	0.722635934	0.733561814	0	0	47.79091222	131.6026422	71.29854118	0	392.4521767	0	0	0.736122559	0.728943423	0	0	0	0	0	0	0	0	0	0	0	0.721200252	0.745009465	0	0	0.7247338	0.73406771	0	0	0	0	0.737346709	0.726733452	0	0	0	0.736072339	0	0.732292429	0.741836161	0	5.088772693	0.727672498	0	0	0	0.737349808	0	0	0	0	0	0	0	0	0	0.734934673	0	0	0	0	0	0.787310924	0.709881522	0	11.32458666	175.7371633	0.729188272	0.732833654	0	0	0	1.522297149	0	0.739317636	0	0.737841098	56.87703013	22.60579196	0	0.730087207	0	0.739434441	0	0	0	0
48	kansas	135.2363061	21.6272941	0	0	0.731397099	0	108.6082018	0.739569972	63.91430048	10.5685711	0	0	0	0.73264457	0.732433796	0.72670877	0	49.77567601	219.9160268	50.73833673	0	543.5634215	0	0	0.711915988	5.707261403	0	0	0	0	0	0	0	0	0	0	0	0.733371765	0.72303594	0	0	0.729549378	0.897570087	0	0	0	0	0.739285737	0.726647276	0.72895658	0.737889588	0	0.729672538	0	0.72791101	0.725806952	0.737792623	0.70590018	0.733595762	0.740000606	0	0	0	0	0	0	0	0	0	0	0	5.15522957	0.726974235	0	0	0	0	0	0.722772837	0.726414184	0	0	219.9646092	0.728108764	0.731951366	0	0	0.730355096	0.720289707	0	0	0	0.718141913	76.54592002	43.09332887	0	0.729923816	0	0.722026157	0	0	0	0
49	kansas	75.98856803	2.38923752	0	0	0.735516686	0	17.58851456	24.8075104	82.7429423	0	0	0	0	0.729318074	0.731814277	0	0	14.87135014	180.8779035	52.69549351	0	273.5390392	0	0	0.727673024	5.93789093	0	0	4.3106786	0	0	0	0	0	0	0	0	0	0.728297395	0	0	0.730021517	0.731213896	0	0	0	0	0.737046421	0.668168634	0	0.732932389	0	0.728213649	0.729307562	0.731785477	0.725953853	0.733741716	0.73029767	0.727313499	0.723010659	0	0	0	0	0	0	0	0	0	0	0	5.426362933	0.728129717	0	0	0	0	0	0	0.735168271	0	24.0418262	140.7667882	0.73342228	0.733890176	0	0	0.72065735	0.729004181	0	0	0	0.72635614	47.74870753	25.07583852	0	0.72427953	0.724097431	0.726397693	0	0	0	0
50	kansas	104.477638	0	0	0	0.820752863	0	24.89947308	27.41937544	80.33764	0	0	0	0	0.756091461	0.732222497	0	0	14.93958696	176.8064102	67.36954306	0	389.0486845	0	0	0.734497234	0.737655044	0	0	0.73597104	0	0	0	0	0	0	0	0	0	0.747121422	0	0.734643877	0.7185276	0.765124027	0	0	0	0	0.750937998	0	0	0	0	0.715131621	0.722133875	0	0.731079984	0.730206284	0.73967731	0.719236106	0	0	0	0	0	0	0	0	0	0	0	0	5.936182916	0.732380414	0	0	0.734642267	0	0	0.742989838	0.755382216	0	0	158.9352442	0.750935972	0.739936701	0	17.38416688	0.73526078	0.776655453	0	0	0	0.717032315	49.31463488	15.27725689	0	0	0.706922174	0.733071566	0	0	0.72212702	0
51	kansas	76.55455262	0	0	0	0.782845458	0	21.27660377	0.721971963	32.98936662	0	0	0	0	0.727978845	0.73316841	0	0	18.09217076	158.3012175	37.68117751	0	247.911367	0.728450835	0	0.721068986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718446199	0	0	0.730581959	0.723632212	0	0	0	0	0.723879695	0.730888218	0	0	0	1.253436771	0.736794129	0	0.726645023	0.739004309	0.726676007	0.722374916	0.727994144	0	0	0	0	0	0	0	0	0	0	0	5.659507367	0.728335672	0	0	0.730889499	0	0	0	0.73020534	0	0	50.85139548	0.723884404	0.697367379	0	15.218427	0.728569269	0.947324093	0	0	0	0.731239447	29.65013651	12.21754124	0	0.723448796	0	0.723044574	0	0	0	0
