Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
1996	EAST3	132.716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166	132.393	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0.085	0.018	0	0	0	0	0	0	0	0	0	0
1997	EAST3	182.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.004	0	0	0	0	0	0	182.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0.147	0	0	0	0	0
1998	EAST3	92.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	92.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0
1999	EAST3	135.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0.002	0.194	0	0	0.005	0	0	0	0	0	0	135.326	0	0	0	0	0.149	0	0.029	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0
2000	EAST3	238.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST3	93.358	0	0	0	0	0	0	0	0	0	0.005	0.001	0	0	0	0	0	0	0	0	0	0	0.099	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.022	0	0.003	0.022	0	0	0	0	0	0	93.102	0	0	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0
2002	EAST3	102.804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	102.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST3	162.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.003	0	0	0	0	0	0	0.014	161.947	0	0	0	0	0.034	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0
2004	EAST3	100.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	EAST3	171.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	78.231	0	0	0	0	0	0	0	0	0.324	83.888	0	0	0	0	0	0.622	0	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	EAST3	156.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST3	153.937	0	0	0	0	0	0	0	0.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	12.389	7.859	0	0	0	0	0	0	0	0	0	130.519	0	0	0	0	0	0.647	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0.454	0	1.6	0	0	0	0	0	0	0	0
2008	EAST3	355.478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355.478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST4	179.863	0	0	0	0	0	0	0	0	0	0	0	1.329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.635	176.857	0	0	0	0	0	0	0	0	0	0	0	1.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST4	96.874	0	0	0	0	0	0	0	0	0	0.003	0	8.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.011	0.069	0	0	0	0	0	0	0	0	0.608	87.053	0	0	0	0	0	0	0	0	0	0	0	0.565	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0
1992	EAST4	201.928	0	0	0	0	0	0	0	0	0	0	0	21.461	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0.002	0	0	0.002	0	0	0	0.46	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0.701	178.488	0	0	0	0	0.021	0	0	0	0	0	0	0.386	0	0	0	0	0	0	0	0	0.291	0	0	0	0	0.074	0	0	0	0	0
1993	EAST4	119.9	0	0	0	0	0	0	0	0	0	0	0	14.435	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0.025	0	0	0.014	0	0	0	0.2	0	0	0	0	0.009	0.238	0	0	0	0	0	0	0	0	0.283	102.779	0	0	0	0	0.073	0	0	0	0	0	0	0.244	0	0	0	0	0	0	0	0	0.334	0	0	0	0	1.203	0	0	0	0	0
1994	EAST4	241.677	0	0	0	0	0	0	0	0	0	0	0	20.664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366	218.606	0	0	0	0	0	0	0	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST4	165.442	0	0	0	0	0	0	0	0.059	0	0.005	0	18.604	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0.005	0	0	0	0.072	0	0	0	0	0	0	0	0	0.136	2.409	0	0	0	0	0	0	0	0	0.002	143.384	0	0	0	0	0.159	0	0.017	0	0	0	0	0.109	0	0	0	0	0	0	0	0	0.201	0	0	0	0	0	0	0	0	0	0
1996	EAST4	131.852	0	0	0	0	0	0	0	0	0	0	0	2.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	129.703	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	EAST4	175.915	0	0	0	0	0	0	0	0.027	0	0	0	26.511	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	149.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0
1998	EAST4	168.536	0	0	0	0	0	0	0	0	0	0	0	17.405	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	151.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.041	0	0	0	0	0
1999	EAST4	170.64	0	0	0	0	0	0	0	0.033	0	0	0	25.116	0	0	0	0	0	0	0	0.009	0	0.024	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0.024	0.177	0	0	0.063	0	0	0	0	0	0.015	143.859	0	0.006	0	0	0.085	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	1.135	0	0	0	0	0.008	0	0	0	0	0
2000	EAST4	210.087	0	0	0	0	0	0	0	0	0	0	0	28.305	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST4	156.945	0	0	0	0	0	0	0	0	0	0	0	21.262	0	0	0	0	0	0	0	0	0	0.042	0	0.002	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0.209	0	0.003	0.002	0	0	0	0	0	0.001	135.302	0	0	0	0	0.012	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0.041	0	0	0	0	0
2002	EAST4	113.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST4	194.585	0	0	0	0	0	0	0	0	0	0	0	7.973	0	0	0	0	0	0	0	0.004	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233	0.002	0	0	0	0	0	0	0.039	186.084	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	EAST4	96.155	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	EAST4	232.03	0	0	0	0	0	0	0	0	0	0	0	4.252	0	0	0	0	0	0	0	0	0	6.356	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.055	56.556	18.99	0.001	0	0	0	0	0	0	0.015	144.699	0	0	0	0	0.016	0.995	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0.041	0	0	0	0	0
2006	EAST4	214.15	0	0	0	0	0	0	0	0	0	0	0	15.847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST4	151.769	0.02	0	0	0	0	0	0	0.107	0	0	0	18.671	0	0	0	0	0	0	0.001	0	0	0.053	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	2.864	1.274	0	0	0	0	0	0	0	0	0	128.035	0	0	0	0	0.002	0.721	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	EAST4	442.596	0	0	0	0	0	0	0	0	0	0	0	40.498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL	4.426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	2.632	0	0	0	0	0	0	0	0	0	0	0	1.746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	TAYL	4.359	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	2.928	0	0	0	0	0	0	0	0	0	0	0	1.344	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0
1992	TAYL	8.77	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	7.633	0	0	0	0	0	0	0	0	0	0	0	1.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	TAYL	6.898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	5.901	0	0	0	0	0.022	0	0	0	0	0	0	0.785	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0.074	0	0	0	0	0
1994	TAYL	10.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	9.663	0	0	0	0	0	0	0	0	0	0	0	0.653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL	14.534	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.798	0	0	0	0	0.007	0	0.002	0	0	0	0	0.628	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0
1996	TAYL	13.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	12.438	0	0	0	0	0	0	0	0	0	0	0	0.656	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0
1997	TAYL	18.689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.415	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.272	0	0	0	0	0	0	0	0	0	0
1998	TAYL	21.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.256	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0
1999	TAYL	17.479	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	17.341	0	0	0	0	0.026	0	0.016	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.088	0	0	0	0	0	0	0	0	0	0
2000	TAYL	13.644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL	20.829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TAYL	15.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL	22.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.43	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	TAYL	7.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TAYL	4.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.247	0	0	0	0	0.011	0	0	0	0	0	0	0.161	0	0	0	0	0	0	0	0	0.545	0	0	0	0	0	0	0	0	0	0
2007	TAYL	15.053	0.1	0	0	0	0	0	3.323	0.066	0	0	0	0	0	0	0	5.902	0	0	0	0	0	0.051	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.598	0	0	0	0	0.002	0.083	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	1.906	0	0	0	0	0	0	0	0	0	0
2008	TAYL	41.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL1	65.541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0.361	63.943	0	0	0	0	0	0	0	0	0	0	0	1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	TAYL1	57.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256	56.463	0	0	0	0	0	0	0	0	0	0	0	0.947	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0
1992	TAYL1	39.981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0.224	36.72	0	0	0	0	0	0	0	0	0	0	0	0.707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.104	0
1993	TAYL1	25.822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	0	0	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	18.909	0	0	0	4.667	0.031	0	0	0	0	0	0	0.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0.499	0	0	0	0	0
1994	TAYL1	31.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171	23.011	0	0	0	7	0	0	0	0	0	0	0	0.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL1	22.888	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079	19.698	0	0	0	2.333	0.042	0	0	0	0	0	0	0.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	TAYL1	37.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	37.609	0	0	0	0	0	0	0	0	0	0	0	0.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	TAYL1	39.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.408	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0
1998	TAYL1	71.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.227	0	0	0	34.999	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	TAYL1	9.028	0	0	0	0	0	0	0.002	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	8.895	0	0	0	0	0.006	0	0.019	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0.008	0	0	0	0	0
2000	TAYL1	39.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL1	11.837	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.539	0	0	0	0	0.006	0.008	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0
2002	TAYL1	7.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL1	33.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	33.419	0	0	0	0	0.004	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0
2004	TAYL1	12.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TAYL1	11.989	0	0	0	0	0	0	0	0.013	0.133	0	0	0	0	0	0	0	0	0	0	0	0	1.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	8.621	0	0	0	0	0.028	0.366	0	0	0	0	0	0.496	0	0	0	0	0	0	0	0	0.795	0	0	0	0	0	0	0	0	0	0
2007	TAYL1	39.917	0	0	0	0	0	0	10.282	0.133	0	0	0	0	0	0	0	8.6	0	2.174	0	0	0	0.624	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0.163	0	0	0	0	14.675	0	0	0	0	0	0.091	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	3.063	0	0	0	0	0	0	0	0	0	0
2008	TAYL1	26.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL2	6.427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.223	0	0	0	0	0	0	0	0	0	0	0	0	3.178	0	0	0	0	0	0.831	0	0	0.098	0	0	0	0	0	0	0	0	0	0.276
1991	TAYL2	3.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	1.351	0	0	0	0	0	0	0	0	0	0	0	1.968	0	0	0	0	0	0.449	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	TAYL2	2.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0	0	0	0	0	1.479	0	0	0	0	0	0.505	0	0	0.027	0	0.049	0	0	0.025	0	0	0	0	0
1993	TAYL2	2.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0.002	0	0	0	0	0	0	1.388	0	0	0	0	0	0.876	0	0	0.159	0	0	0	0	0.304	0	0	0	0	0
1994	TAYL2	6.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	4.727	0	0	0	0	0	0	0	0	0	0	0	1.875	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
