Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
2005	EAST	53.034	0	0	0	0	0	0	0	0.438	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0.614	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0.016	14.132	0	0	0	0.006	0	0	0	0	0.072	37.197	0	0	0	0	0	0	0	0	0	0	0	0.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	EAST	78.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST	45.234	0	0	0	0	0	0	0	0.546	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	2.986	2.657	0	0.016	0	0	0	0	0.63	0	0.001	38.329	0	0	0	0	0.022	0	0	0	0	0	0	0.037	0	0	0.001	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0
2008	EAST	259.399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259.399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST1	151.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134	0	0	0	0	0	0	79.477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408	70.475	0	0	0	0	0	0	0	0	0	0	0	1.373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST1	167.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.067	0	0	0.003	0	0	0	90.169	0	0	0	0	0.004	0.078	0	0	0	0	0	0	0	0	0.58	76.098	0	0	0	0	0	0	0	0	0	0	0	0.788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	EAST1	245.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.155	0	0	0.002	0	0	0	169.379	0	0	0	0	0.015	0.009	0	0	0	0	0	0	0	0	0.936	73.883	0	0	0	0	0.001	0	0	0	0	0	0	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	EAST1	99.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0.269	0	0	0.024	0	0	0	68.267	0	0	0	0	0.031	0.428	0	0	0	0	0	0	0	0	0.743	28.384	0	0	0	0	0.054	0	0	0	0	0	0	0.446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853	0	0	0	0	0
1994	EAST1	287.656	0	0.282	0	0	0	0	0	0	0	0	0	0.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427	89.559	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST1	112.266	0	0	0	0	0	0	0	0.027	0	0.175	0	0.199	0	0	0	0	0	0	0	0	0	0.757	0	0	0	0	0	0	0	0.208	0	0	0	0	0	0	0	0	0.123	3.531	0	0	0	0	0	0	0	0	0.009	70.413	0	0	0	0	0.095	0	0	36.518	0	0	0	0.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0
1996	EAST1	141.929	0	0	0	0	0	0	0	0	0	0	0	0.332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097	80.516	0	0	0	0	0	0	0	60.915	0	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	EAST1	67.28	0	0	0	0	0	0	0	0	0	0.011	0	1.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	65.375	0	0	0	0	0	0	0	0.019	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222	0	0	0	0	0
1998	EAST1	67.965	0	0	0	0	0	0	0	0	0	0	0	1.678	0	0	0	0	0	0	0.004	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0.001	0	0	0	0	0	0	0	0	65.642	0	0	0	0	0	0	0	0.312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278	0	0	0	0	0
1999	EAST1	75.982	0	0	0	0	0	0	0	0.013	0	0	0	9.169	0	0	0	0	0	0	0	0.001	0	0.022	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0.004	0.053	0	0	0.12	0	0	0	0	0	0.002	66.324	0	0	0	0	0.154	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	EAST1	101.949	0	0	0	0	0	0	0	0	0	0	0	11.561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
