Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPU	ARTE	ARWR	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BOCU	BOER	CABA	CACH	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPT	CRYP1	DAPU	DAWR	DEPI	DIWI	DRCU	ENDE	ERAB	ERAN	ERDI	ERIA1	ERIO1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUMC	EVNU	GAPI	GIFL	GILI1	GILI2	GSDL1	HAGR	HODR	HYFL	IPLO	IVAM	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MEAL	MENT1	MEPU	MILI	MUAR	MUPO	NAHI	OEAL	OENA1	OENO1	OEPR	PAIN	PENA	PHAC1	PHCO	PLMU	PLPA	POPA	PSDL1	PSTA	RANE	SAKA	SCAR	SCBR	SELE	SELO	SOOL	SPCC	SPHA1	SPIN	SPOR1	SPSA	SPSU	SPVEG	STEX	STPA	TOAN	UKFO1	UKFO2	UKGR1	UKGS1	VEWR	VUOC	XASA
2000	BASN	153.856	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN	263.779	0	0	0	0.287	0	0	0	0	0	0	0	0.04	0	0	0	0	0.003	0	257.078	0	0	0	0	0.002	0	0	0	0	0.01	0	1.332	0	0	1.017	0	0	0	0.05	0	0.072	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0	0	0	0	0	1.114	0	0	0.146	0.002	0	0	0	2.277	0	0	0	0	0	0.003	0	0	0	0	0	0.037	0	0.013	0.042	0	0	0	0	0	0	0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0
2002	BASN	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN	307.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307.175	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN	112.847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN	87.674	0	0	0	0	0	0	0	0	0	0	0.133	0.663	0	0	2.783	0	0	0	71.298	0	0	0	0	0	0	0	0	0	0	0	2.128	0	0	3.385	0	0	0	0.007	0	0.014	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.892	0	0	0	0	0	0	0	1.952	0	0	0	0	0	0.072	0	0	0.187	0	0	0.722	0	0.001	0.249	0	0	0	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN	99.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN	174.169	0	0	0	0	0	0	0	0	0	0	1.286	74.056	0	0	0	0	0.41	0	73.864	0	0	0	0	0	0	0.008	0	0	0	0	0.656	0	0	0.696	0	0	0	0.004	0	0.008	0	0	0	0	0	0	0.001	0.006	0	0	0	0	0	0	0	0.124	0	0	0	0	0	0	0	0	0.008	9.897	0	0	0	0	0	0	0	3.579	0	0	0	0	0.638	0	0	0.072	0.006	0	0	0	0	0	0.222	0	0	7.763	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811	0	0
2008	BASN	157.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN1	278.436	0	0	0	0	0	0	0	0	0	16.305	0	2.969	0	0	0	0	0.077	0	243.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.254	5.185	0	0	0	0	0	0	0	0	0	0
1991	BASN1	207.308	0	0	0	0	0	0	0	0	0	15.624	0	0	0	0	0	0	0	0	184.493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0.034	5.212	0	0	0	0	0	0	0	0	0	0
1992	BASN1	205.378	0	0	0	0	0	0	0	0	0	5.073	0	0	0	0	0	0	0	0	189.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0	0	0	0	0	0	0	0	0.002	4.885	0	0	0	0	0	0	0	0	0	0
1993	BASN1	252.243	0	0	0	0	0	0	0	0	0	10.551	0	0	0	0	0	0	0	0	225.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0	0	0	0	0	1.202	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	10.954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	3.974	0	0	0	0	0	0	0	0	0	0
1994	BASN1	213.732	0	0	0	7.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.273	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN1	125.617	0	0	0	0.46	0	0	0	0	0	0	0	1.919	0	0	0	0	0.002	0	111.925	0	0	0.467	0	0.022	0	0	0	0	0	0	0.874	0	0	0.32	0	0	0	0.009	0	0.009	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	3.218	0	0	0	0	0	0.005	0	0.489	0	0	0	0	0	0	5.335	0	0	0	0	0.05	0	0.402	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.013	0	0.005	0	0	0	0	0	0	0	0	0	0	0
1996	BASN1	121.869	0	0	0	0.783	0	0	0	0	0	0	0.061	0.029	0	0	0	0	0.011	0	100.895	0	0	0	0	0	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0.56	0	0	0.429	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	18.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0.012	0	0	0	0	0
1997	BASN1	236.799	0	0	0	0.096	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	230.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	6.511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
