Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPU	ARTE	ARWR	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BOCU	BOER	CABA	CACH	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPT	CRYP1	DAPU	DAWR	DEPI	DIWI	DRCU	ENDE	ERAB	ERAN	ERDI	ERIA1	ERIO1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUMC	EVNU	GAPI	GIFL	GILI1	GILI2	GSDL1	HAGR	HODR	HYFL	IPLO	IVAM	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MEAL	MENT1	MEPU	MILI	MUAR	MUPO	NAHI	OEAL	OENA1	OENO1	OEPR	PAIN	PENA	PHAC1	PHCO	PLMU	PLPA	POPA	PSDL1	PSTA	RANE	SAKA	SCAR	SCBR	SELE	SELO	SOOL	SPCC	SPHA1	SPIN	SPOR1	SPSA	SPSU	SPVEG	STEX	STPA	TOAN	UKFO1	UKFO2	UKGR1	UKGS1	VEWR	VUOC	XASA
1994	BASN2	255.562	0	0	0	2.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.681	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN2	193.621	0	0	0	0.195	0	0	0	0	0.004	0	0	0.361	0	0	0	0	0	0	148.892	0	0	0.467	0	0.011	0	0	0	0	0	0	0.71	0	0	0.171	0	0	0	0.004	0	0.01	0	0	0	0	0	0	0.004	0	0	0	5.75	0	0	0	0	0.101	0	0	0	0	0	0	0	0	0	4.926	0	0	0	0	0	0.048	0	1.138	0	0	0	0	0	0	28.944	0	0	0	0	0.257	0	0.203	0	0	0	0.862	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0.444	0	0.083	0	0	0	0	0	0	0	0	0	0	0
1996	BASN2	155.712	0	0	0	0	0	0	0	0	0	0	0	0.154	0	0	0	0.003	0.003	0	124.202	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0.027	0	0	0	0	0	0.012	0	0	0	0	0
1997	BASN2	288.331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241.876	0	0	0	0	0	0	0	0	0	0	0	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN2	433.653	0	0	0	0.038	0	0	0	0	0	0	0.038	0	0	0	0	0	0.001	0	370.046	0	0	0	0	0	0	0	0	0	0	0	0.002	0.005	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0.032	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	62.573	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853	0	0	0	0	0.029	0	0	0	0	0	0
1999	BASN2	416.705	0	0	0	0.69	0	0	0	0	0	0	0.033	0.08	0	0	0	0	0.009	0	354.081	0	0	0	0	0	0	0	0	0	0.003	0	0.413	0.001	0	0.186	0	0	0	0.004	0	0.027	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.162	0.001	0	0.013	0	0	0	0	0.488	0	0	0	0	0	0	60.089	0.006	0.012	0	0	0.043	0	0.151	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0.001	0	0.009	0	0	0	0	0	0	0	0	0
2000	BASN2	223.858	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.437	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN2	331.117	0	0	0	0	0	0	0	0	0	0	0.135	0.04	0	0	0	0	0.003	0	285.72	0	0	0	0	0	0	0	0	0	0.009	0	1.213	0	0	1.325	0	0	0	0.112	0	0.045	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.005	0.195	0	0	0	0	0	0	0	0	0.173	0	0	0.059	0	0	0	0	2.602	0	0	0	0	0	0	32.545	0	0	0	0.01	0	0	0.025	0	0	0	6.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN2	269.643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN2	297.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.698	0	0	0	0	0	0	0	0	0	0	0	0.001	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN2	77.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN2	95.57	0	0	0	0	0	0	0	0	0	0	0.066	13.2	0	1.537	0	0	0	0	68.702	0	0	0	0	0	0	0	0	0	0	0	1.047	0.001	0	1.821	0	0	0	0.148	0	0.043	0	0	0	0	0	0.537	0.028	0	0	0	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	0	1.847	0.129	0	0	0	0	0	0	0.814	0	0	0	0	0	0	0	0	0.125	0	0	0.162	0	0	0.091	0	0	5.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0
2006	BASN2	104.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN2	411.603	0	0	0	0	0	0	0	0	0	0	2.163	96.585	0	0	0	0	0.438	0	128.092	0	0	0	0	0	0	0	0	0	0	0	0.685	0	0	0.554	0	0	0	0.366	0	0.063	0	0	0	0	0	19.892	0.008	0	0	0	0	0	0	0	0	0.132	0	0	0	0	0	0	0	0	0	10.552	0	0.041	0	0	0	0	0	0.977	0	0	0.014	0	0	0	0	0.078	0	0	0	0.087	0.043	0	0.113	0	0	148.782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.938	0	0	0	0	0	0	0	0	0	0	0
2008	BASN2	188.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN3	418.82	0	0	0	0	0	0	0	0	0	7.376	0	17.214	0	0	0	0	0	0	359.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.706	0	0	0	0	0	0	0	0	0	0
1991	BASN3	212.047	0	0	0	0	0	0	0	0	0	2.184	0	0	0	0	0	0	0	0	191.444	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.4	0	0	0	0	0	0	0	0	0	0
1992	BASN3	256.91	0	0	0	0	0	0	0	0	0	1.255	0	0	0	0	0	0	0	0	219.792	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.312	0	0	0	0	0	0	0	0	0	0
1993	BASN3	192.109	0	0	0	0	0	0	0	0	0	4.062	0	0	0	0	0	0	0	0	165.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.359	0	0	0	0	0	0	0	0	0	0
1994	BASN3	234.805	0	0	0	2.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.527	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN3	178.558	0	0	0	0.589	0	0	0	0	0	0	0	0.633	0	0	0	0	0	0	141.558	0	0	0	0	0.013	0	0	0	0	0	0	0.363	0	0	3.157	0.082	0	0	0.001	0	0.22	0	0	0	0	0	0.209	0	0	0	0	0	0	0	0	0	0.161	0	0	0	0	0	0	0	0	0	2.292	0	0	0	0	0	0	0	1.789	0	0	0	0	0	0	16.673	0	0	0	0	0.024	0	0.425	0	0	0	10.35	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	BASN3	193.719	0	0	0	0.674	0	0	0	0	0	0	0.109	0.04	0	0	0	0	0.003	0	149.743	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0.259	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.146	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	41.915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595	0	0	0	0	0	0	0	0.024	0	0	0	0	0
1997	BASN3	257.152	0	0	0	0.057	0	0	0	0	0	0	0	0.029	0	0.003	0	0	0	0	234.865	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN3	386.664	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364.244	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	22.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	BASN3	420.229	0	0	0	0.738	0	0	0	0	0	0	0.226	0.271	0	0	0	0	0.018	0	378.28	0	0	0	0	0	0.002	0	0	0	0	0	0.31	0.005	0	0.535	0.016	0	0	0.001	0	0.065	0	0	0	0	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166	0	0	0.047	0	0	0	0	0.814	0	0	0	0	0	0	21.383	0.003	0.192	0	0	0.049	0	0.118	0	0.277	0	16.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0
2000	BASN3	302.035	0	0	0	0	0	0.144	0	0	0	0	0	0.066	0	0	0	0	0	0	275.131	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN3	320.8	0	0	0	0	0	0	0	0	0	0	0.005	0.016	0	0	0	0	0.003	0	305.192	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0.5	0	0	0	0.014	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0.015	0	0	0.059	0	0	0	0	1.301	0	0	0	0	0	0	11.254	0	0.093	0	0	0	0	0.002	0.066	0	0	2.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN3	206.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN3	314.363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287.819	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN3	96.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN3	67.925	0	0	0	0	0	0	0	0	0	0	1.021	0.331	0	0	4.241	0	0	0	39.618	0	0	0	0	0	0.01	0	0	0	0	0	0.995	0	0	6.759	0	0	0	0.028	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.005	0	0	0.013	0	0	0	0	0	0.095	0	0	0	0	0	0	0	1.302	0	0	0	0	0	0	1.1	0	0	0	0	0.087	0	0	1.496	0	0	10.781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN3	84.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN3	452.538	0	0	0	0	0	0	0	0	0	0	16.171	70.343	0	0	0	0	0.159	0	108.68	0	0	0	0	0	0	0	0	0	0	0	1.114	0	0	2.262	0	0	0	0.005	0	0.001	0	0	0	0	0	22.986	0.004	0	0	0	0	0	0	0	0	0.165	0.003	0	0	0	0	0	0	0	0.005	10.465	0	0	0.008	0	0	0	0	0.163	0	0	0	0	0	0	0.4	0.072	0.025	0	0	0	0	0	0.431	0	0	219.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	BASN3	207.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN4	358.471	0	0	0	0	0	0	0	0	0	14.14	0	20.04	0	0	0	0	0	0	317.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.209	0	0	0	0	0	0	0	0	0	5.174	0	0	0	0	0	0	0	0.015	0	0
1991	BASN4	204.109	0	0	0	0	0	0	0	0	0	3.64	0	0	0	0	0	0	0	0	199.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447	0	0	0	0	0	0	0	0	0	0.811	0	0	0	0	0	0	0	0	0	0
1992	BASN4	217.833	0	0	0	0	0	0	0	0	0	4.102	0	0	0	0	0	0	0	0	213.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297	0	0	0	0	0	0	0	0	0	0.141	0	0	0	0	0	0	0	0	0	0
1993	BASN4	205.254	0	0	0	0	0	0	0	0	0	4.742	0	0.265	0	0	0	0	0	0	197.462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.726	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0.623	0	0	0	0	0	0	0	0	0	0
1994	BASN4	185.531	0	0	0	5.658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0.637	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN4	118.26	0	0	0	0.308	0	0	0	0	0	0	0	0.535	0	0	0	0	0.001	0	106.047	0	0	0	0	0.007	0	0	0	0	0	0	0.255	0	0	0.46	0	0	0	0	0	0.116	0	0	0	0	0	0.17	0.002	0	0	0	5.75	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0.02	3.195	0	0	0	0	0	0	0	0.488	0	0	0	0	0	0	0	0	0	0	0	0.183	0	0.087	0	0.017	0	0.431	0	0	0	0	0.019	0	0.013	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	BASN4	110.093	0	0	0	0.997	0	0	0	0	0	0	0.013	0.048	0	0	0	0	0.006	0	108.717	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0.003	0	0	0.002	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0.001	0	0.045	0.043	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0.086	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0.002	0	0	0	0	0
1997	BASN4	170.517	0	0	0	0.077	0	0	0	0	0	0	0	0.053	0	0.003	0	0	0	0	170.194	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.005	0	0	0	0.002	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN4	252.948	0	0	0	0.144	0	0.383	0	0	0	0	0	0	0	0	0	0	0	0	252.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	BASN4	304.741	0	0	0	0.383	0	0	0	0	0.005	0	0.268	0	0	0	0	0	0.002	0	300.073	0	0	0	0	0	0	0	0	0	0.01	0	0.041	0	0	0.033	0	0	0	0.002	0	0.002	0	0	0	0	0	0.221	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	1.68	0	0	0.032	0.014	0	0.051	0	0	0.01	0	0.163	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0.144	0	0.238	0	1.293	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	BASN4	220.577	0	0	0	0.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN4	226.646	0	0	0	0	0	0	0	0	0	0	0.067	0.035	0	0	0	0	0.007	0	222.394	0	0	0	0	0	0	0	0	0	0	0	0.138	0	0	0.429	0	0	0	0.013	0	0.055	0	0	0	0	0	0.07	0	0.001	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0.071	0	0	0.041	0	0	0	0	0.488	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0.123	0.073	0	0	2.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN4	192.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN4	234.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN4	89.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
