Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARWR	ASAL	ASNU	ASTE1	ASTR1	BAAB	BAMU	CHCO	CHIN	CRAN	CRCR	CRMI	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERIO1	ERPU	ERRO	ERTR	EUAL	GSDL1	HYOD	LESQ1	LIBI	LIVE	MAFE	MALI	MEPU	MSDL1	MUPO	NAHI	PECT1	PHAC1	PLPA	PSDL1	PSTA	SAKA	SCAR	SELE	SPOR1	SPSU	SPVEG	STEX	TILA	UKFO1	UKFO5	UKGR1	UKGS1	XANT1	XASA	XASP	XASP1
1997	RABB	154.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.032	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.237	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	RABB	209.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.723	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	RABB	151.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.005	0.245	2.933	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.956	0.009	0	0	0	0	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB	201.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB	290.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.11	1.058	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289.196	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	RABB	176.933	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB	204.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.019	1.434	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	RABB	54.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	RABB	171.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	40.476	0.015	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.885	0.002	0	1.825	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	RABB	60.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	RABB	519.603	0	0	0	0.078	0	0	0	0	0	0	0	0	0.133	0	0	0	0	0.1	0.109	0.004	1.554	315.398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201.3	0.038	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.839	0	0	0	0	0	0
1990	RABB1	0.301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	0	0	0	0	0	0	0	0	0	0
1991	RABB1	1.632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.155	0	0	0	0	0	0	0	0	0	0
1992	RABB1	1.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606	0	0	0	0	0	0	0	0	0	0
1993	RABB1	18.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.909	0	0	0	0	0.329	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	3.085	0	0	0	0	1.537	0	0	0	0	0	0	0	0	0	0
1994	RABB1	1.646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.524	0	0	0	0	0	0	0	0	0	0
1995	RABB1	42.268	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.012	0	0	41.785	0.145	0	0	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0.154	0	0	0	0	0	0	0	0	0	0
1997	RABB1	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	RABB1	0.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.227	0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	RABB1	5.314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.026	5.25	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB1	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB1	1.54	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0.015	0.008	0.023	1.477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	RABB1	0.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB1	4.324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	4.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	RABB1	65.199	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.017	0.005	0	63.681	1.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	RABB1	362.171	0	0	0	0	0	0	0	0	0	0	0	0	0.745	0	0	0	0	0.256	0.38	0.111	27.605	332.559	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226	0	0	0	0.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0
1990	RABB2	7.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146	0	0	0	0	0	0	0	0	0	0	0	0	7.536	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0
1991	RABB2	31.638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.236	0	0	0	0	0	0	0	0	0	0	0	0	28.402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	RABB2	25.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.771	0	0	0	0	0	0	0	0	0	0	0	0	21.276	0	0	0	0	0	0	0	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0
1993	RABB2	61.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.111	0	0	0	0	3.789	0	0	0	0	0	0	0	0	0	0	0	0.029	51.472	0	0	0	0	0	0	0.962	0	0	0	0	0.874	0	0	0	0	0	0	0	0	0	0
1994	RABB2	74.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259	0	0	0	0	0	0	0	0	0	0	0	0	73.209	0	0	0	0	0	0	0	0	0	0	0	1.479	0	0	0	0	0	0	0	0	0	0
1995	RABB2	29.97	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0.013	0.008	0	7.957	1.208	0	0.015	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	20.686	0.007	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0
1996	RABB2	27.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	RABB2	19.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.738	0	0	0	0	0	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	RABB2	57.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.604	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	RABB2	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097	0	0.865	0.488	0.363	0	0	0.006	0	0	0	0.022	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB2	73.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB2	110.158	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0.038	0	0.135	0.915	0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.891	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	RABB2	89.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB2	131.639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.17	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	RABB2	55.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	RABB2	165.233	0	0	0	0	0	0	0	0	0	0.175	0	0	0	0	0	0	0	0.111	0	0	12.759	5.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.111	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	RABB2	31.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	RABB2	241.007	0	0	0	0	0	0	0	0	0	0	0	0	0.605	0	0	0	0	0.065	0.011	0.014	1.181	157.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.335	0.677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0.003	0	0	0	0
1990	RABB3	10.378	0	0	0	0	0	0	8.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	0	0	0	0	0	0	0	0	0	0
1991	RABB3	12.426	0	0	0	0	0	0	6.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914	0	0	0	0	0	0	0	0	0	0
1992	RABB3	14.61	0	0	0	0	0	0	5.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	8.866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223	0	0	0	0	0	0	0	0	0	0
1993	RABB3	7.672	0	0	0	0	0	0	3.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724	0	0	0	0	2.731	0	0	0.02	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0.563	0	0	0	0	0.571	0	0	0	0	0	0	0	0	0	0
1994	RABB3	5.01	0	0	0	0	0	0	2.872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161	0	0	0	0	0	0	0	0	0	0
1995	RABB3	5.368	0	0	0	0	0	1.326	0	0	0.013	0	0	0	0.027	0	0	0	0	0.33	0	0.059	2.98	0.073	0.01	0	0	0	0	0	0.248	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0.004	0	0	0	0	0	0	0	0.075	0.005	0
1996	RABB3	0.152	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	RABB3	0.207	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.192	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	RABB3	2.234	0	0	0	0.019	0	0.453	0	0	0	0	0	0	0	0	0	0	0	0	0.002	1.741	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0
1999	RABB3	0.893	0	0	0	0.373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.251	0.173	0.058	0	0	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB3	0.934	0	0	0	0	0	0.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB3	0.829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0.118	0.45	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	RABB3	0.149	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	RABB3	0.185	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	RABB3	26.649	0	0	0	0	0	0	0	0	0	0.008	0	0	0.006	0	0	0	0	0.136	0	0	7.285	19.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	RABB3	90.925	0	0	0	0.268	0	0	0	0	0	0	0	0	2.786	0	0	0	0	0.256	0.032	0.043	0.52	86.402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0
1990	RABB4	4.068	0	0	0	0	0	0	2.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	RABB4	9.08	0	0	0	0	0	0	4.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382	0	0	0	0	0	0	0	0	0	0
1992	RABB4	7.16	0	0	0	0	0	0	2.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	4.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472	0	0	0	0	0	0	0	0	0	0
1993	RABB4	13.187	0	0	0	0	0	0	3.028	0	0	0	0	0	0	0	0	0	0	0	0	0	6.287	0	0	0	0	2.371	0	0	0.006	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.469	0	0.499	0	0	0.525	0	0	0	0	0	0	0	0	0	0
1994	RABB4	10.402	0	1.209	0	0	0	0	0.652	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0.726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.997	0	0	5.813	0	0	0	0	0	0	0	0	0	0
1995	RABB4	29.377	0	0	0	0.075	0.012	0	0	0	0	0	0.013	0	0	0	0.013	0	0	0.059	0	0.015	28.999	0	0	0.003	0	0	0	0	0.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0
1996	RABB4	0.041	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	RABB4	0.122	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	RABB4	0.426	0	0	0	0.062	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	RABB4	1.955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.03	1.213	0.145	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.002	0	0	0.555	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	RABB4	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	RABB4	7.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.017	0.041	7.852	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	RABB4	0.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0.159	0	0	0	0	0	0	0	0	0	0
2003	RABB4	1.145	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099	0.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	RABB4	45.366	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.024	0.049	44.959	0.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	RABB4	16.875	0	0	0	0.264	0	0	0	0	0	0	0	0	0.71	0	0	0	0	0.007	0.02	0.088	4.624	10.272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.484	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0
1990	WELL	7.5	0	0	0	0	0	0	4.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467	0	0	0	0	0	0	0	0	0	0
1991	WELL	2.321	0	0	0	0	0	0	1.814	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.006	0	0	0	0	0.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	WELL	1.612	0	0	0	0	0	0	0.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	WELL	4.279	0	0	0	0	0	0	0.066	0	0	0	0	0	0.001	0	0	0	0	0	0.04	0	1.975	0.02	0	0	0	1.192	0	0	0	0	0	0	0	0	0	0	0	0.134	0	0	0	0	0	0	0	0.053	0	0.777	0	0	0.021	0	0	0	0	0	0	0	0	0	0
1994	WELL	0.188	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	WELL	24.802	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.121	9.789	0.002	0.012	0	4.572	3.697	0.192	0	0	0	0.124	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.277
1996	WELL	7.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.199
1997	WELL	8.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.03	0	0	0.006	0	0.028	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.992
1998	WELL	18.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.15	0	0	0
1999	WELL	1.484	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.006	0.026	0	0.987	0.303	0.018	0	0.068	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	WELL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	WELL	2.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	1.808	0.072	0	0	0	0	0.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	WELL	21.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437	0	20.16	1.19	0.003	0	0	0	0.009	0	0	0.005	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	WELL	22.011	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.315	0	3.42	11.114	0	0	0	0	0.142	0	0	0	0	0.002	0	0.14	0	0	0	0.003	0	3.997	0	0.838	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0
1990	WELL1	115.026	0	0	0	0	0	0	3.757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.039	0	0	0	0	0	0	0	0	0	0	0	0	108.743	0	0	0	0	0	0	0	0	0	0	0	1.487	0	0	0	0	0	0	0	0	0	0
1991	WELL1	66.92	0	0	0	0	0	0	2.024	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.038	0	0	0	0	0.423	0	0	0	0	0	0	0	0	0	0	0	0	63.583	0	0	0	0	0	0	0.001	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0
1992	WELL1	53.728	0	0	7.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.832	0	0	0	0	0	0	0	0	0	0	0	0	44.265	0	0	0	0	0	0	0	0	0.854	0	0	0.072	0	0	0	0	0	0	0	0	0	0
1993	WELL1	60.216	0	0	0	0	0	0	0.178	0	0	0	0	0	0.005	0	0	0	0	0	0.077	0	2.025	1.332	0	0	0	2.879	0	0	0	0	0	0	0	0	0	0	0	0.077	44.743	0	0	0	0	0	0	0.036	0	8.626	0	0	0.238	0	0	0	0	0	0	0	0	0	0
1994	WELL1	67.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331	0	0	0	0	0	0	0	0	0	0	0	0	38.715	0	0	0	0	0	0	0	0	28.569	0.025	0	0	0	0	0	0	0	0	0	0	0	0
