Year	site	total	ARIS1	ARNE	ARWR	ASAL	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BAPE	CABA	CACH	CAWR	CHCO	CHST	CRAN	CRCR	CRMI	CRPT	CRYP1	CSDL1	DAPU	DEPI	DIWI	DRCU	DYPE	ERAB	ERBE	ERDI	ERIO1	ERPU	ERRO	ERTR	ESME	EUAL	EUMC	GILI1	GSDL1	HAGR	HOMU	IPLO	IVAM	LEER	LEFE	LEGO	LELA	LEPI1	LEVI	LIBI	LONE	MAFE	MELE	MENT1	MILI	MUPO	NAHI	OEAL	OENO1	OEPR	PENA	PHAC1	PHCO	PLPA	RANE	SAKA	SCAR	SCBR	SELE	SELO	SILE	SPOR1	SPVEG	STAR	STEX	UKFO1	UKFO3	UKFO5	UKGR1	UKGS1	VEWR	XAMI
2008	SAND1	12.408	0	0	0	0	0	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0.001	0	0	0	0.001	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.978	0	0	0	0	0	0	0	1.294	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
1990	SAND2	29.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.909	0	0	0	0	0	0	0	0	0
1991	SAND2	27.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	27.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723	0	0	0	0	0	0	0	0	0
1992	SAND2	22.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.039	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SAND2	57.775	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	2.733	0	6.469	0.236	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	48.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SAND2	41.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SAND2	149.335	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	106.173	0.033	0	0	0.736	0	6.315	0.138	0	0	0.057	0	3.815	0	0	0.006	0.355	0	0	0	0	0	0	0	0.005	0	0	0	0	0.58	0	0	0	0	0.163	0	0	0	30.926	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	SAND2	29.015	0	0	0	0	0	0	0	0	0	0.015	0.012	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.09	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SAND2	67.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.013	0.956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SAND2	37.637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0.013	0.068	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SAND2	48.308	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.414	0	0.009	2.61	0.114	0	0	0.002	0	0.106	0	0	0	0.03	0	0.013	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.326	0	0	0	44.504	0	0	0	0	0	0	0.149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SAND2	13.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SAND2	14.205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099	0	0.149	0.022	0	4.748	0	0	0	0.013	0	0.054	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	8.747	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268	0	0	0	0	0	0
2002	SAND2	3.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SAND2	9.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.327	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	SAND2	3.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SAND2	23.776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	1.63	0.005	0	14.41	0	0	0	0.01	0	0.018	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0.015	0	0	7.28	0.007	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	SAND2	14.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SAND2	8.54	0	0	0	0	0	0	0	0	0	0.405	0	0	0	0	0	0	0	0	0	0.887	0	2.72	0	0.002	2.403	0	0	0	0.015	0	0.031	0	0	0	0.028	0	0	0.058	0	0	0	0	0	0.01	0	0	0	0.111	0	0	0	0.048	0	0	0	0	1.261	0.468	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SAND2	14.891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.951	0	0	0	0	0	0	0	0	0	0	0	0	6.94	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	SAND3	94.2	0	0	1.345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	SAND3	116.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	116.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	SAND3	87.41	0	0	4.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.003	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SAND3	70.934	0	0	12.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.238	0	1.061	0.589	0	0	0	0	0	0	0.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	54.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SAND3	88.605	0	0	8.019	0	0	0	0	0	0	0.805	0	0	2.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SAND3	283.032	0	0	0	0	0.053	0	0	0.027	0	0	0.003	0	0	0	0	0	0	0	164.907	0	0	0	4.854	0	6.165	1.44	0	0	0.046	0	1.874	0	0	0.098	0.243	0	0	0	0	0	0	0	0	0	0	0.221	0	0.716	0	0	0	0	2.765	0	0	0	99.563	0	0	0	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	SAND3	66.191	0	0	0	0	0	0	0	0.008	0	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0.016	0.007	0	0.004	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SAND3	64.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	64.209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0
1998	SAND3	51.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.016	0.023	1.057	0	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SAND3	34.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226	0.001	0.019	2.58	0.018	0	0	0.002	0	0.117	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0.56	0	0	0.031	0	0	0	0	0.163	0	0	0	30.591	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0.003	0	0	0	0	0	0	0
2000	SAND3	73.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SAND3	10.186	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0.054	0.002	0	4.492	0	0	0	0.008	0	0.022	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0	0	5.445	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SAND3	5.355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SAND3	17.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0.019	0	0	3.111	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	SAND3	4.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SAND3	35.549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419	0	0.101	0.007	0	11.281	0	0	0	0.003	0	0.032	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0.048	0.163	0	0	0	22.715	0	0	0	0	0	0.166	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0
2006	SAND3	49.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SAND3	129.459	0	0	0	0	0	0	0	0	0	0.63	0.536	0	0	0	0	0	0	0	0	0.971	0	2.179	0.002	0.006	1.347	0	0.005	0	0.026	0	0.065	0	0	0	0	0.025	0	0	0	0	0.028	0	0	0.4	0	0	0	0.035	0	0	0	0	0	0.003	0	0	118.106	0.221	0.037	0	0	0	0	0	4.744	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0.079	0	0
2008	SAND3	72.236	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.059	0	0	0.001	0	0	0	0.004	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.126	0	0	0	0	0	0	0	6.037	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0
1990	SAND4	82.817	0	0	26.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	56.04	0	0	0	0	0	0	0	0	0	0	0	0	0.555	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	SAND4	138.486	0	0	0	0	0	0	0	0	0	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	138.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	SAND4	84.743	0	0	1.906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.016	0	0.02	0.273	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0.705	0	0	81.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SAND4	135.582	0	0	5.236	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	2.214	0	2.693	3.572	0	0	0	0	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.309	0	0	0	0	0	43.689	0	0	77.294	0	0	0.059	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.051	0.016	0	0	0	0	0	0	0	0
1994	SAND4	128.765	0	0	6.674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.701	0	0	111.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497	0	0	0	0	0	0	0	0	0	0
1995	SAND4	187.621	0.054	0	0	0	0	0	0	0.027	0	0	0.007	0	0	0	0	0	0.14	0.048	113.703	0	0	0	1.088	0	10.192	0.056	0	0	0.084	0	3.351	0	0	0.065	0.336	0	0	0	0	0	0	0	0	0	0	0	0	1.96	0	0	0	0	0.65	0	0	0	55.014	0	0	0	0.38	0	0	0.373	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0
1996	SAND4	49.969	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	49.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SAND4	80.641	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.004	0.006	0	0.004	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.512	0	0	79.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0
1998	SAND4	102.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.013	0.013	0.015	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	101.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SAND4	39.677	0	0	0	0	0	0	0	0	0	0.022	0.001	0	0	0	0	0	0	0	0	0.007	0	0.077	0.006	0.018	1.193	0.528	0	0	0.027	0	0.178	0	0	0	0.055	0	0	0	0	0	0	0	0	0.002	0	0	0	0.054	0	0.005	0	0	0	0	0	0	37.498	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SAND4	60.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SAND4	50.658	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.055	0	0.021	0	0	2.473	0	0	0	0.048	0	0.063	0	0	0.001	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.163	0	0	0	47.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SAND4	11.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SAND4	46.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.001	0.001	0.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	SAND4	38.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SAND4	60.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.585	0.745	0.017	0	23.065	0	0	0	0.002	0	0.03	0	0	0.02	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	35.455	0	0	0	0.436	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	SAND4	70.869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SAND4	87.387	0	0	0	0	0	0.596	0	0	0	0.721	1.133	0	0	0	0	0	0	0	0	0.226	0	11.037	0	0.003	25.248	0	0	0	0.022	0	0.146	0	0	0.009	0.006	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0	0	0	1.084	0	0	0	0	45.23	0.906	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SAND4	85.775	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.14	0.001	0	0.002	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441	0	0	83.893	0	0	0	0	0	0	0	1.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
