Year	site	total	ALIN	ALLI1	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	ASWO	BAAB	BAPE	BOER	CAWR	CHCO	CHIN	COCO	CRAN	CRBA	CRCR	CRMI	CRPO	CRYP1	CRYP2	DAPU	DEPI	DYPE	ERAB	ERBE	ERDI	ERDV	ERPU	ERRO	ERTE	ERTR	EUSE	EUST	EVNU	HAGR	HIMU	HODR	HOFF1	HOGL	HYVE	LEER	LEFE	LEGO	LELA	LESQ1	LEVI	LUCO	MAFE	MAPI	MATA	MELE	MENT1	MUAR	MUPO	NAHI	OENO1	PAHA	PAHI	PENA	PHAC1	PHCO	PHIN	PHPO	PLMU	PLPA	RANE	SAKA	SCBR	SELO	SIPH	SOEL	SPAI	SPAN	SPOR1	SPSU	SPVEG	STAR	STEX	TAAN	TAAU	TALI1	TECO	TSDL1	UKFO1	UKFO5	UKFO6	VEWR	VUOC	XASP
1998	EAST2	165.372	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.194	19.978	0	0	0	0	1.125	0	0	0	0	4.179	0	0	0	12.063	0	0	0	0	0	0	0.472	0.575	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	EAST2	140.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	100.233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283	13.947	0	0	0	0	4.493	0	0	0	0	7.902	0	0	0	5.051	0	0	0.016	0	0	0	4.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	EAST2	108.524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.349	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST2	96.617	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.786	0	0	0	0	0	0	0	0	0	0	0.659	0	1.367	0.008	0	0	0	0	0	0	0	0.11	52.178	0	0	0	0	7.815	0	0	0	0	18.901	0	0	0	5.77	0	0	0.077	0	0	0	2.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	EAST2	16.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.836	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST2	187.903	0	0	0.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.388	0	0	0	0	0	0	0	0	0.023	0	0	0	11.033	0	0	0	0	0	0	0	0	1.416	0	0	0	0	0	0	0	0	0	0	0	0	29.27	0.263	0	0	0	0	0	0	0	0.139	30.973	0	0	0	0	7.171	0	0	0	0	23.695	0	0	0	5.94	0	0	0	0	0	0	1.475	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0
2004	EAST2	161.452	0	0	0.366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.139	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0.904	17.773	0	0	0	0	4.837	0	0	0	0	103.083	0	0	0	7.582	0	0	1.12	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0
2005	EAST2	709.749	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.287	0	0	0	0	0.972	0	0	0	0.047	0	0	0	35.235	0	0	0	0	0	0	0	0	36.172	0	0	0	0	0	0	0	0	0	0	0	4.97	463.591	0	0	0	0	0	0	0	0	0.677	10.518	0	0	0	0	3.25	5.433	0	0	0	109.877	0	0	0	15.906	0	0	0.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	EAST2	75.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST2	623.952	0	0	1.428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.986	0	0	0	0.561	0	0	0	0	0.175	0	0	0	0	0	0	0	0	0	0	0	0	6.829	0	0	0	0	0	0	0	0	0	0	8.208	4.654	25.54	0	0	0	0	0	0	0	0	7.681	70.052	0.639	0	0	0	9.982	0	0	0	0	279.233	0	0	0	54.874	0	0	10.195	0	0	0.217	5.674	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0
2008	EAST2	93.842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	EAST3	189.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.546	158.176	0	0	0	0	3.964	0	0	0	0	0	0	0	0	8.104	0	0	0.004	0	0	0	0.091	3.163	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST3	64.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.149	50.772	0	0	0	0	0.492	0	0	0	0	0	0	0	0	6.664	0	0	0	0	0	0	0.379	0.359	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST3	188.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.479	0	0	0	0	0	0	0	0	0	0	0	0.02	0.119	0	0	0	0	0	0	0	0	12.222	159.807	0	0	0	0	0.95	0	0	0	0	0	0	0	0	8.235	0	0	0	0	0	0	0.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	EAST3	210.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	44.956	0	0	0	0	0	0	0	0	0	0	0	2.401	5.899	0	0	0	0	0	0	0	0	5.286	106.357	0	0	0	0	15.158	0	0	0	0	0	0	0	0	6.613	0	0	13.682	0	0	0	8.238	1.677	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	EAST3	175.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.331	0	0.006	0	0	0	0	0	0	28.575	0	0	0	0	0	0	0	0	0	0	0	0.028	1.819	0	0	0	0	0	0	0	0	4.88	123.998	0	0	0	0	6.791	0	0	0	0	0	0	0	0	3.659	0	0	0.021	0	0	0	0.345	5.103	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	EAST3	103.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.716	101.957	0	0	0	0	0.005	0	0	0	0	0	0	0	0	1.069	0	0	0	0	0	0.096	0.011	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0
1995	EAST3	252.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.467	0	0.001	0	0	0	0	0	0	0.032	0	0	0.849	0	0	0	0	0	0	0	0	24.203	0	0	0	0	0	0	0	0	0	0	0	1.422	65.414	0	0	0	0	0	0	0	0	2.091	146.409	0	0	0	0	9.323	0.182	0.058	0	0	0	0	0	0	1.116	0	0	0.024	0	0	0.008	0.372	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0
1996	EAST3	133.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503	132.526	0	0	0	0	0	0	0	0	0	0	0	0	0	0.754	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0
1997	EAST3	110.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	3.01	100.961	0	0	0	0	2.463	0	0	0	0	0	0	0	0	3.565	0	0	0.046	0	0	0	0.099	0.288	0	0	0	0	0.249	0	0	0	0	0	0	0	0
1998	EAST3	33.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.507	29.999	0	0	0	0	1.179	0	0	0	0	0	0	0	0	2.154	0	0	0	0	0	0.026	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	EAST3	92.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.073	79.041	0	0	0	0	2.468	0	0	0	0	0	0	0	0	2.136	0	0	0.015	0	0	0.043	0.063	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0
2000	EAST3	88.315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST3	81.981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0.907	62.983	0	0	0	0	12.923	0	0	0	0	0	0	0	0	0.847	0	0	0	0	0	0.261	0.059	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0
2002	EAST3	64.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	64.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0
2003	EAST3	138.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	1.152	0	0	0	0	0	0	0	0	5.563	0	0	0	0	0	0	0	0	0	0	0	0	2.44	0	0	0	0	0	0	0	0	1.155	117.258	0	0	0	0	9.413	0	0	0	0	0	0	0	0	1.784	0	0	0.008	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0
2004	EAST3	117.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.449	105.396	0	0	0	0	9.537	0	0	0	0	0	0	0	0	1.439	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0
2005	EAST3	813.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.036	0	0	0	0	0	0	0	0	24.056	0	0	0	0	0	0	0	0	0	0	0	9.245	669.569	0	0	0	0	0	0	0	0	4.659	66.56	0	0	0	0	5.734	0	0	0	0	0	0	0	0	2.496	0	0	0	0	0	0	0.363	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0
2006	EAST3	75.342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST3	341.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232	0	0	0	0	0	0	0	0.629	0	0	0	0	0	0	0	0	0	13.562	0	0	0	0	0	0	0	0	0	0	23.697	0	24.361	0	0	0	0	0	0	0	0	9.422	226.257	0.284	0	0	0	14.368	0	0	0	0	0	0	0	0	19.732	0	0	0.965	0	0	0.478	6.97	0	0	0	0.158	0	0	0	0	0	0	0	0	0	0
2008	EAST3	109.511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	EAST4	222.299	0	0	0.005	0	0	0	0	0	0	0	0	0.031	0	0	0	0	0.008	0	1.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	6.398	190.388	0	0	0	0	2.882	0	0	0	0	0	0	0	0	20.359	0	0	0	0	0	0	0.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST4	114.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.717	93.924	0	0	0	0	0.573	0	0	0	0	0	0	0	0	10.719	0	0	0.017	0	0	0	0.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST4	154.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	19.994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0.045	0.679	0	0	0	0	0	0	0	0	3.917	118.897	0	0	0	0	0.449	0	0	0	0	0	0	0	0	9.636	0	0	0.002	0	0	0	0.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	EAST4	259.83	0	0	6.728	0	0	0	0	0	0	0	0	0	0	0	3.446	0	0.47	0	31.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	2.358	0	0	20.726	0	0	0	0	0	0	0	0	0	0	0	3.602	0	0	0	0	0	0	0	0	0	4.818	136.675	0	0	0	0	12.498	0	0	0	0	0	0	0	0	10.561	0	0	14.347	0	0	0	12.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	EAST4	172.666	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.386	0	0	0.007	0	0	0	0	0	0	0	0	0	0.354	0	0	0	0	0	0	0	0	19.875	0	0	0	0	0	0	0	0	0	0	0	0.013	4.249	0	0	0	0	0	0	0	0	2.449	108.4	0	0	0	0	4.509	0	0	0	0	0	0	0	0	5.274	0	0	0.041	0	0	0	3.079	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0
1994	EAST4	172.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.394	139.151	0	0	0	0	0	0	0	0	0	0	0	0	0	2.464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST4	287.109	0	0	0.021	0	0	0	0	0	0	0	0	0	0.08	0	0.053	0	0	0	34.93	0	0	0.014	0	0	0	0	0	0	0	0	0	0.239	0	0	0	0	0	0	0	0	30.292	0	0	1.15	0	0	0	0	0	0	0	0	1.312	19.159	0	0	0	0	0	0	0	0	0.153	186.493	0	0	0	0	5.179	0	0	0.133	0	0	0	0	0	2.506	0	0	0.026	0	0	0	5.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	EAST4	159.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	151.299	0	0	0	0	0	0	0	0	0	0.61	0	0	0	1.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	EAST4	133.944	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.206	0	0	0	0	0	0	0	0	0	0	0	1.886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205	106.542	0	0	0	0	1.731	0	0	0	0	1.372	0	0	0	4.904	0	0	0.023	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	EAST4	140.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.047	0	0	0	0	0	0	0	0	0	0	0	2.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141	0	0	0	0	0	0	0	0	0.067	96.236	0	0	0	0	1.039	0	0	0	0	0	0	0	0	3.153	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	EAST4	167.045	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.641	0	0	0	0	0	0	0	0	0	0	0	10.611	0	0	0	0	0	0	0	0	0	2.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	124.876	0	0	0	0	5.855	0	0	0	0	0	0	0	0	1.901	0	0	0.008	0	0	0	0.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	EAST4	181.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST4	154.797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.651	0	0	0.031	0	0	0	0	0	0	1.959	0	0	0	0	0	0	0	0	0	0	0	0.06	2.648	0.11	0	0	0	0	0	0	0	0.198	140.463	0	0	0	0	6.528	0	0	0	0	0.412	0	0	0	0.701	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	EAST4	124.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	107.755	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST4	229.357	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.467	0	0	0	0	0	0	0	0	0	0	0	0.943	19.06	0	0	0	0	0	0	0	0	7.48	0	0	0	0	0	0	0	0	0	0	0	0	34.068	0.491	0	0	0	0	0	0	0	0.246	139.574	0	0	0	0	9.9	3.857	0	0	0	0.338	0	0	0	0.827	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	EAST4	158.35	0	0	1.519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631	0	0	0	0	0	0	0.201	139.416	0	0	0	0	7.825	0	0	0	0	1.047	0	0	0	0.646	0	0	0.251	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0.035	0	0	0	0
2005	EAST4	764.411	0	0	0.365	0	0	0	0	0	0	0	0	0	18.819	0	0	0	0	0	5.639	0.467	0	0	0	0	0	0	0	0	0	0	0	27.408	0	0	0	0	0	0	0	0	14.771	0	0	0	0	0	0	0	0	0	0	0	4.266	590.323	0.94	0	0	0	0	0	0	0	0.25	84.909	0	0	0	0	7.562	0	4.147	0	0	2.011	0	0	0	2.472	0	0	0.008	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	EAST4	148.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126.738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST4	436.561	0	0.013	0.121	0	0	0	0	0	0	0	0	0	0.066	0.053	0	0	0	0	31.314	0	0	0	0.297	0	0	0	0	0	0	0	15.012	0	0	0	0.139	0	0	0	0	0	59.996	0	0	1.15	0	0	0	0	0	0	0	0	0	18.744	0	0	0	0	0	0	0	0	6.542	253.886	0.696	0	0	0	13.601	0	0	0	0	12.103	0	0	0	9.914	0	0	10.37	0	0	2.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	EAST4	160.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	TAYL	48.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0.588	0	0	0	0	0	0	0	0	47.711	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL	61.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681	1.913	0	0	0	0	0.367	0	0	0	0	0	0	0	0	58.733	0	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	TAYL	46.737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205	5.021	0	0	0	0	0.109	0	0	0	0	0	0	0	0	41.152	0	0	0	0	0	0	0.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	TAYL	78.013	0	0	0	0	0	0	0	0	0	0	0	0.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.127	0	0	0	0	0	0	0	0	0	0.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296	22.753	0	0	0	0	3.846	0	0	0	0	0	0	0	0	33.838	0	0	0	0	0	0	16.376	0	0	0	0.052	0	0	0	0	0	0	0	0	0	0
1993	TAYL	33.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	7.75	0	0	0	0	1.126	0	0	0	0	0	0	0	0.439	22.401	0	0	0	0	0	0	1.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	TAYL	19.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	9.942	0	0	0	0	0	0	0	0	0	0	0	0	0	9.228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL	73.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	1.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	43.234	0	0	0	0	0.968	0.033	0	0	0	0	0	0	0	27.548	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	TAYL	37.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144	19.725	0	0	0	0	0	0	0	0	0	0	0	0	0	17.559	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
