Year	site	total	ALIN	ALLI1	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	ASWO	BAAB	BAPE	BOER	CAWR	CHCO	CHIN	COCO	CRAN	CRBA	CRCR	CRMI	CRPO	CRYP1	CRYP2	DAPU	DEPI	DYPE	ERAB	ERBE	ERDI	ERDV	ERPU	ERRO	ERTE	ERTR	EUSE	EUST	EVNU	HAGR	HIMU	HODR	HOFF1	HOGL	HYVE	LEER	LEFE	LEGO	LELA	LESQ1	LEVI	LUCO	MAFE	MAPI	MATA	MELE	MENT1	MUAR	MUPO	NAHI	OENO1	PAHA	PAHI	PENA	PHAC1	PHCO	PHIN	PHPO	PLMU	PLPA	RANE	SAKA	SCBR	SELO	SIPH	SOEL	SPAI	SPAN	SPOR1	SPSU	SPVEG	STAR	STEX	TAAN	TAAU	TALI1	TECO	TSDL1	UKFO1	UKFO5	UKFO6	VEWR	VUOC	XASP
2001	EAST	31.959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503	0	2.502	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.565	21.164	0	0	0	0	1.711	0	0	0	0	0.011	0	0	0	5.184	0	0	0.309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	EAST	24.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	24.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST	69.528	0	0	0.002	0	0	0	0	0	0	0	0	0	0.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	9.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.992	0	0	0	0	0	0	0.67	47.788	0	0	0	0	1.136	0	0	0	0	0	0	0	0	8.846	0	0	0.028	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0
2004	EAST	73.281	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.507	61.014	0	0	0	0	1.902	0	0	0	0	0	0	0	0	9.174	0	0	0.321	0	0	0	0	0	0	0	0	0	0.157	0	0	0	0	0	0	0	0
2005	EAST	701.123	0	0	0.014	0	0	0	0	0	0	0	0	0	5.964	0	0	0	0	0	0	0	0	0	0	0	0	0.753	0	0	0	0	0	17.871	0	0	0	0	0	0	0	0	209.446	0	0	0	0	0	0	0	0	0	0	0	2.562	394.118	0	0	0	0	0	0	0	0	0.123	40.846	0	0	0	0	2.326	0	0	0.012	0	0	0	0	1.411	25.342	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
2006	EAST	57.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST	331.759	0	0	2.285	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0	0	0	0	53.477	4.205	54.235	0	0	0	0	0	0	0.685	0	9.98	119.113	0	0	0	0	7.27	0.017	0	0	0	0	0	0	0	71.693	0	0	6.99	0	0	0	0.254	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0
2008	EAST	89.691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	EAST1	259.782	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393	0	0	0	0	0	0	0	161.804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.085	60.888	0	0	0	0	8.614	0	0	0	0	0	0	0	0	22.959	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST1	97.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87	25.862	0	0	0	0	0.237	0	0	0	0	0	0	0	0	18.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST1	129.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.965	0	0	3.211	0	0	0	0	50.396	0	0	0	0	0	0	0.06	0.086	0	0	0	0	0	0	0	0	3.297	55.149	0	0	0	0	0.714	0	0	0	0	0	0	0	0	14.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	EAST1	392.865	0	0	3.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0	0	0	0	0	24.68	0	0	53.648	0	0	0	0	218.425	0	0	0	0	0	0	1.651	0.415	0	0	0	0	0	0	0	0	8.716	48.888	0	0	0	0	8.183	0	0	0	0	0	0	0	0	19.815	0	0	3.533	0	0	0	0.681	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0
1993	EAST1	399.11	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	61.542	0	0	28.292	0	0	0	0	187.598	0	0	0	0	0	0	0.101	6.236	0	0	0	0	0	0	0	0	5.807	89.237	0	0	0	0	3.621	0	2.979	0	0	0	0	0	0	13.643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	EAST1	162.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.595	41.26	0	0	0	0	0	0	0	0	0	0	0	0	0	5.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST1	351.689	0	0	0.07	0	0	0	0	0	0	0	0	0	0.425	0	0	0	0	0	0.764	0	0	0	0	0	0	0	0	0	0	0	0	0.139	0	0	0	0	0	0	0	0	21.314	0	0	0	0	0	0	0	0	0	0	0	2.687	34.773	0	0	181.345	0	0	0	0	0	0.287	63.767	0	0	0	0	3.508	0	0	0	0	39.617	0	0	0	2.94	0	0	0	0	0	0	0.032	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0
1996	EAST1	140.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183	78.771	0	0	0	0	0	0	0	0	0	58.511	0	0	0	2.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	EAST1	90.456	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	38.888	0	0	0	0	0.851	0	0	0	0	38.505	0	0	0	9.539	0	0	0.888	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0
