Year	site	total	AMAR1	AMBL	AMPA	AMPU	APRA	ASCL1	ASNU	ASSU	ASTE1	ASTR1	BAMU	BAPE	CAWR	CHIN	CIOC	COCA	COCO	CRAN	CRCR	CYES	DECO	DEPI	DIWI	ERAB	ERAG1	ERBE	ERDV	ERIG1	EUAL	EUGL	EUMI	EUSE	EUSR	EUST	GAPA	GRSQ	HAGR	HEAN	HECI	HIMU	HODR	HOGL	HYOD	IPLO	IPPU	KAHI	LEFE	LEGO	LEVS	MAFE	NAHI	PAOB	PAOBS	PEPA	PHAC1	PHCO	PHIN	PLMU	PLPA	POOL	PROB1	PSDL1	PSTA	SAKA	SILE	SOEL	SONU	SOOL	SPAI	SPSA	SPSU	TAAN	TALI1	TECO	TILA	UKFO1	UKFO2	UKFO4	UKFO5	VEBR	VEEN	VERB1	VEWR	VUOC
2001	COLL2	88.36	0	0	0	0	0.099	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	36.635	0	0.001	0	0	0	0	0	0	0	0	0	0	0	20.374	0	0	0	0	0	0.438	0	0	0	0	0	0	0	0	0	28.341	0	0	0	0	0	0	0	0	0	0	0	0	0.577	0	1.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL2	628.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144	0	0	0	0	0	0	0	0	6.222	0	0	0	0	0	0	0	0	0	11.48	0	0	199.257	0	0	8.705	140.203	0	0	0	0	0	0	0	0	169.691	0	0	0	0	0	0	0	0	0	0	0	0	51.473	0	41.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	COLL2	714.466	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.487	0	0	0	0	0	0.089	0	0.073	0	0	0	0	0	0	0	0	0	0	0.03	0	0	4.632	0	0	359.834	0	0	36.375	2.843	0	0	0	0	0	0.027	0	0	141.158	0	0	0	0	0	0	0	3.073	0	0.174	0	0.523	120.122	0	45.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL2	901.767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112	0	0	0	0	68.466	0	0	0	0	38.481	0	0	0	0	0	0	0	0	49.52	0	0	38.684	0	0	16.126	106.048	0	0	0	0	0	0	0	0	486.561	0	0	0	0	0	0	0	0	0	0	0	0	35.486	0	62.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL2	98.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.512	0	0	34.16	0	0	0.887	0	0	0	0	0	0	0	0	0	1.098	0	0	0	0	0	0	0	0	0	0	0	0	3.421	0	15.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL2	3137.671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.083	165.332	0	0	0	0	0	0	0	0	60.325	0	0	0	0	0	0	0	0	0	627.81	0	0	901.078	0	0	25.698	359.708	0	0	0	0	0	0	0	0	746.741	0	0	0	0	0	0	0	0	0	0	0	0	95.921	0	140.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL2	2.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658	0	0	1.008	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129	0	0.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	COLL3	41.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.317	0	0	0.255	0	0	0	0	0	0	0	0	0	0.834	0	0	0	0	0	0	0	0	0	0	0	0.014	36.812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL3	1444.364	0	0	0	0	1.649	0	0	0	0	0	0	0	0	0	0	0	1.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	7.712	0	0	70.413	0	0	25.762	1259.694	0	0	0	0	0	0	0	0.043	19.669	0	0	0	0	0	0	0	0	0	0	0	0	58.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	COLL3	0.623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296	0	0	0.174	0	0	0	0	0	0	0	0	0	0	0	0	0.139	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL3	1985.735	0	0	0	0	130.274	0	0	0	0	0	0	0	0	0	0	0	0.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	80.731	0	0	134.069	0	0	47.178	1282.224	0	0	0	0	0	0	0	0	131.263	5.28	0	0	0	0	0	0	0	0	0	0	0	173.742	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0
1993	COLL3	86.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	9.808	0	0	0	0	0	0	0	0	0	0	0	0	0	5.202	0	0	13.364	0	0	0.25	29.804	0	0	0	0	0	0	0	0	21.932	0	0	0	0	0	0	0	0	0	0	0	0	5.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL3	4.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517	0	0	0.358	0	0	0	0	0	0	0	0	0	3.019	0	0	0	0	0	0	0	0	0	0	0	0	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL3	2148.885	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	2.804	0	0	0	0	0	0	0	0	2.924	0	0	0	0	0	0	0	0	0.017	1.792	0	0	60.279	0	0	33.371	919.869	0	0	0	0	0	0	0	0	959.437	0	0	0	0	0	0	0	0	0	0	0	0	168.318	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0
1998	COLL3	294.611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.963	0	0	24.875	3.605	0	0	0	0	0	0	0	0	191.01	0	0	0	0	0	0	0	0	0	0	0	0	43.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL3	16.339	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.201	0	0	0.163	0	0	0	0	0	0	0	0	0	12.752	0	0	0	0	0	0	0	0	0	0	0	0	0.823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL3	250.874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.607	0	0	10.523	0	0	0	0	0	0	0	0	0	217.911	0	0	0	0	0	0	0	0	0	0	0	0	20.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL3	120.047	0	0	0	0	0.895	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	21.742	0	0	0	0	0	0	0	0	0	0	0	0	0	2.544	0	0	0	0	0	1.251	0.798	0	0	0	0	0	0	0	0	91.122	0	0	0	0	0	0	0	0	0	0	0	0	1.681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	COLL3	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL3	854.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.454	0	0	0	3.302	0	0	0	0	0	0	0	0	0	0.28	0	0	31.59	0	0	14.053	604.798	0	0	0	0	0	0	0	0	136.869	0	0	0	0	0	0	0	0	0	0	0	0	55.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	COLL3	95.546	0	0	0	0	0	0	0	0	0	0	0	0	0	1.007	0	0	0	0	0	0.016	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.919	0	0	13.983	0	0	0	0	0	0	0	0	0	52.692	0	0	0	0	0	0	0	0	0	0	0	0	25.859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL3	2181.514	0	0	0	0	0	0	0	0.302	0	0	0	0	0	0	0	0	0	0	0	0	0	58.181	0	0	0	0	29.39	0	0	0	0	0	0	0	0	0.128	0	0	4.472	0	0	15.967	1747.414	0	0	0	0	0	0	0	0	212.021	0	0	0	0	0	0	0	0	0	0	0	0	113.639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL3	22.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0	0	11.201	0	0	2.736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL3	2045.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.214	78.728	0	0	0	0	0	0	0	0	130.762	0	0	0	0	0	0	0	0	0	159.113	0	0	135.858	0	0	14.4	1085.534	0	0	0	0	0	0	0	0	339.151	0	0	0	0	0	0	0	0	0	0	0	0	96.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.213	0	0	0	0
2008	COLL3	2.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.808	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	COLL4	436.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.478	0	0	0.339	0.21	0	0	0	0	0	0	0	0	95.547	0	0	0	0	0	0	0	0	0	0	0	0	3.47	0	0	0	0	2.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL4	1047.834	0	0	0	0	9.306	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0.044	2.147	0	0	196.033	0	0	3.704	480.352	0	0	0	0	0	0	0	0	324.94	0	0	0	0	0	0	0	0	0	0	0	0	24.143	0.406	0	0	0	2.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	COLL4	3.362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	2.594	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.023	0	0	0	0.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL4	1313.785	0	0	0	0	92.963	0	0	0	0	0	0	0	0	2.759	0	0	69.824	0	0	0	0	1.271	0	0	0	0	0	0	0	0	0	0	0	0	0.817	40.264	0	0	338.273	0	0	6.052	198.04	0	0	0	0	0	0	0	0	486.653	0	0	0	0	0	0	0	0	0	0	0	0	46.653	6.43	0	0	0	23.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL4	193.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0	0	0.072	0	0	0	0	21.925	0	0	0	0	0	0	0	0	0	0	0	0	0	3.656	0	0	32.927	0	0	0.024	2.801	0	0	0	0	0	0	0	0	101.742	0	0	0	0	0	0	0	0	0	0	0	0	0.709	0.861	0	0	0	29.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	COLL4	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL4	808.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	7.66	0	0	0	0	12.856	0	0	0	0	0	0.849	0	0	0	0	0	0	0	4.322	0	0	25.839	0	0	0.247	742.439	0	0	0	0	0	0	0	0	6.103	0	0	0	0	0	0	0	0	0	0	0	0	1.169	0.044	6.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL4	0.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL4	2521.651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.992	0	0	0	0	0	0	0	0	13.349	0	0	0	0	0	0	0	0	0.166	14.824	0	0	329.407	0	0	6.098	784.377	0	0	0	0	0	0	0	0	1069.266	0	0	0	0	0	0	0	0	0	0	0	0	71.665	2.163	188.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL4	520.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	36.448	0	0	270.024	0	0	3.701	0.01	0	0	0	0	0	0	0	0	135.527	0	0	0	0	0	0	0	0	0	0	0	0	7.996	0.657	66.312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL4	148.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.456	0	0	47.604	0	0	1.434	0	0	0	0	0	0	0	0	0	8.384	0	0	0	0	0	0	0	0	0	0	0	0	3.122	0.116	80.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL4	134.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	3.989	0	0	1.071	0	0	0	0	0	0	0	0	0	19.135	0	0	0	0	0	0	0	0	0	0	0	0	4.496	0	101.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL4	181.881	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	34.843	0	0	0	0	0	0	0	0	0	0	0	0	0	5.227	0	0	48.462	0	0	0.052	0	0	0	0	0	0	0	0	0	26.528	0	0	0	0	0	0	0	0	0	0	0	0	0.709	0.034	66.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	COLL4	12.468	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.464	0	0	0.63	0.02	0	0	0	0	0	0	0	0	7.114	0	0	0	0	0	0	0	0	0	0	0	0	0.537	0	2.702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL4	1020.179	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	1.071	0	0	0	0.119	0	0	0	0	0	0	0	0	0	0.808	0	0	311.943	0	0	3.047	154.891	0	0	0	0	0	0	0	0	111.231	0	0	0	0	0	0	0	0	0	0	0	0	38.566	0.348	397.689	0	0	0	0	0	0	0	0	0.408	0	0	0	0	0	0	0	0
2004	COLL4	912.399	0	0	0.056	0	0	0	0	0	0	0	0	0	0	3.617	0	0	0	0	0	0.064	0	0.561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535.484	0	0	9.255	0.884	0	0	0	0	0	0	0	0	110.187	0	0	0	0	0	0	0	0.821	0	0	0	0	56.689	0.579	194.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL4	1333.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.592	0	0	0	0	12.82	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	177.893	0	0	10.214	300.207	0	0	0	0	0	0	0	0	436.871	0	0	0	0	0	0	0	0	0	0	0	0	32.332	0	342.832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL4	195.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	135.381	0	0	0.003	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	56.956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL4	2827.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	6.501	290.228	0	0	0	0	0	0	0	0	5.931	0	0	0	0	0	0	0	0	0	111.839	0	0	1173.695	0	0	1.216	321.355	0	0	0	0	0	0	0	0	599.965	0	0	0	0	0	0	0	0	0	0	0	0	11.745	0	305.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL4	25.705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41	0	0	5.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	SMAL	187.459	0	0	0	0	0	0	0	25.272	0	0	0	0	0	0	7.273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	150.137	0	0	0	0	0	0	0	0	0	0	0	0	4.726	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	SMAL	417.935	0	0	0	0	0	0	0	10.486	0	0	0	0	0	0	87.031	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316.811	0	0	0	0	0	0	0	0	0	0	0	0	3.552	0.012	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0
1991	SMAL	48.088	0	0	0	0	0	0	0	1.477	0	0	0	0	0	0	6.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.283	0	0	0	0	0	0	0	0	0	0	0	0	0.611	0	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0
1992	SMAL	862.908	0	0	0	0	0	0	0	5.029	0	0	0	0	0	0.191	12.379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494	0	0	0	0	0	0	0	0	0	830.326	0	0	0	0	0	0	0	0	0	0	0	0	12.79	1.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL	331.889	0	0	0	0	0	0	0	20.663	0	0	0	0	0	0	20.95	0.004	0	0	0	0	0	24.889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436	0	0	0	0	0	0	0	0	0	256.59	0	0	0	0	0	0	0	0	0	0	0	0	4.771	3.089	0	0.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SMAL	17.238	0	0	0	0	0	0	0	0.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.996	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SMAL	519.41	0	0	0	0	0	0	0	2.051	0	0	0	0	0	0	0	0	0.583	0	0	0	0	410.327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.72	0	0	0	0	0	0	0	0	99.849	0	0	0	0	0	0	0	0	0	0	0	0	0.741	0	0	4.975	0	0	0	0	0	0	0	0.146	0	0	0	0	0	0	0	0
1996	SMAL	3.199	0	0	0	0	0	0	0	0.203	0	0	0	0	0	0	0	0	0	0	0	0	1.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.926	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL	1596.484	0	0	0	0	0	0	0	4.727	0	0	0	0	0	0	0.083	0	1.75	0	0	0	0	2.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.216	2.101	0	0	0	0	0	0	0	0	1575.977	0	0	0	0	0	0	0	0	0	0	0	0	8.127	0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SMAL	51.746	0	0	0	0	0	0	0	0.319	0	0	0	0	0	0	1.157	0	0	0	0	0	0	0.662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116	0	0	0	0	0	0	0	0	0	49.326	0	0	0	0	0	0	0	0	0	0	0	0	0.087	0.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL	41.965	0	0	0	0	0	0	0	0.196	0	0	0	0	0	0	0.083	0	0	0	0	0	0.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.705	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL	281.148	0	0	0	0	0	0	0	0.436	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	279.204	0	0	0	0	0	0	0	0	0	0.014	0	0	0.797	0.328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL	213.189	0	0	0	0	0	0	0	0.264	0	0	0	0	0	0	0	0	0	0	0	0	0.883	25.516	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.298	0	0	0	0	0	0	0	0	0	179.37	0	0	0	0	0	0	0	0	0	0	0	0	0.942	2.206	2.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SMAL	363.938	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938	0	0	0	0	0	0	0	0	0	0	0	0	0.027	2.201	0	0	0	0	0	0	0	0	359.533	0	0	0	0	0	0	0	0	0	0	0	0	1.095	0.058	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL	480.751	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	2.142	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0.027	0.036	15.857	0	0	0	0	0	0	0	0	458.146	0	0	0	0	0	0	0	0	0	0	0	0	3.466	0.104	0.145	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	SMAL	899.686	2.53	1.496	0.658	0.564	0	0	0	0.014	0	0	0	0.06	0	0	1.025	0	0	0	0	0	0	0.009	0	0	0	0	0	0	6.75	0	0.452	0	0	0	0	0	0	0	0	0	0	0.976	0.14	0	0	0	0	0	0	0	0	842.693	2.374	0.014	0	0	0	0	0	0.233	0	0	0	0	32.433	0.769	1.246	0	0	0	0	0	0	0	0.028	0.023	0	0	0	0	5.199	0	0	0
2005	SMAL	659.495	0	0	0	0	0	0	0	0.313	0	0	0	0	0	0	40.247	0	0	0	0	0	0	63.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08	0	0	0	0.071	23.71	0	0	0	0	0	0	0	0	497.362	0	0	0	0	0	0	0	0	0	0.052	0	0	25.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634	0	0	0
2006	SMAL	2.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468	0	0	0	0	0	0	0	0	0	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL	124.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.649	0	0	0	0.468	3.802	0	0	0	0	0	0	0	0	2.619	0	0	0	0	0	0	0	0	0	0.006	0	0	52.068	0.386	4.362	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0
2008	SMAL	1.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0.898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	SMAL1	286.439	0	0	0	0	0	0	0	1.047	0	0	0	0	0	0	18.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	264.335	0	0	0	0	0	0	0	0	0	0	0	0	2.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	SMAL1	524.419	0	0	0	0	0	0	0	6.474	0	0	0	0	0	0	24.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.149	0	0	0	0	0	0	0	0	0	490.658	0	0	0	0	0	0	0	0	0	0	0	0	1.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	SMAL1	43.276	0	0	0	0	0	0	0	1.407	0	0	0	0	0	0	6.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	35.522	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	SMAL1	678.245	0	0	0	0	0	0	0	51.921	0	0	0	0	0	0	0	0	6.451	0	0	0	0	7.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.494	69.902	0	0	0	0	0	0	0	0	536.043	0	0	0	0	0	0	0	0	0	0	0	0	1.636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
