Year	site	total	AMAR1	AMBL	AMPA	AMPU	APRA	ASCL1	ASNU	ASSU	ASTE1	ASTR1	BAMU	BAPE	CAWR	CHIN	CIOC	COCA	COCO	CRAN	CRCR	CYES	DECO	DEPI	DIWI	ERAB	ERAG1	ERBE	ERDV	ERIG1	EUAL	EUGL	EUMI	EUSE	EUSR	EUST	GAPA	GRSQ	HAGR	HEAN	HECI	HIMU	HODR	HOGL	HYOD	IPLO	IPPU	KAHI	LEFE	LEGO	LEVS	MAFE	NAHI	PAOB	PAOBS	PEPA	PHAC1	PHCO	PHIN	PLMU	PLPA	POOL	PROB1	PSDL1	PSTA	SAKA	SILE	SOEL	SONU	SOOL	SPAI	SPSA	SPSU	TAAN	TALI1	TECO	TILA	UKFO1	UKFO2	UKFO4	UKFO5	VEBR	VEEN	VERB1	VEWR	VUOC
2003	COLL	984.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.176	0	0	0	0	9.821	0	0	0	2.046	0	0	0	0	0	0	0	0	0	5.336	0	0	8.074	0	0	3.566	725.571	0	0	0	0	0	0	0	0	162.504	0	0	0	0	0	0	0	0	0	0	0	0	58.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	COLL	259.371	0	0.292	0	0	0.052	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0.376	0	0.389	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0.088	0	0	8.607	0	0	5.105	29.303	0	0	0	0	0	1.369	0	0	72.619	4.34	0	0	0	0	0	0	3.348	0	0.007	0	0	131.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.509	0	0	0
2005	COLL	1995.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.891	0	0	0	0	27.3	0	0	0	0	54.426	0	0	0	0	0	0	0	0	20.6	0	0	35.514	0	0	0.161	1527.744	0	0	0	0	0	0	0	0	259.434	0	0	0	0	0	0	0	0	0	0	0	0	67.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL	22.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2	0	0	1.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL	2101.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	65.15	0	0	0	0	0	0	0	0	75.625	0	0	0	0	0	0	0	0	0	282.242	0	0	193.602	0	0	3.166	1113.353	0	0	0	0	0	0	0	0	324.804	0	0	0	0	0	0	0	0	0	0	0	0	43.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL	4.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.238	0	0	1.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	COLL1	191.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.588	0.38	0	0	0	0	0	0	0	0	155.226	0	0	0	0	0	0	0	0	0	0	0	0	4.709	0.008	0	0	0	26.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL1	1234.134	0	0	0	0	2.559	0	0	0	0	0	0	0	0	0	0	0	4.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.968	0	0	0.069	0	0	14.671	594.401	0	0	0	0	0	0	0	0	558.873	0	0	0	0	0	0	0	0	0	0	0	0	14.649	1.406	0	0	0	38.898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	COLL1	22.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96	0	0	0	0	0	2.192	0	0	0	0	0	0	0	0	0	8.72	0	0	0	0	0	0	0	0	0	0	0	0	0.688	0.259	0	0	0	6.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL1	1457.106	0	0	0	0	4.445	0	0	0	0	0	0	0	0	0.596	0	0	84.901	0	0	0	0	7.237	0	0	0	0	0	0	0	0	0	0	0	0	0.206	92.201	0	0	15.578	0	0	86.61	240.82	0	0	0	0	0	0	0	0	752.795	0	0	0	0	0	0	0	0	0	0	0	0	73.048	16.607	0	0	0	82.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL1	264.285	0	0	0	0	0	0	0	0.491	0	0	0	0	0	0.007	0	0	0	0	0	0	0	27.911	0	0	0	0	0	0	0	0	0	0	0	0	0.013	34.738	0	0	3.646	0	0	4.181	1.879	0	0	0	0	0	0	0	0	165.859	0	0	0	0	0	0	0	0	0	0	0	0	1.756	6.319	0	0	0	17.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
