yr	plot	total	DM	DO	DS	PB	PE	PF	PM	PP	RM
2001	4	5912.066999	2858.281457	581.6733826	0	1583.994463	0	305.0013372	0	583.1163593	0
2002	4	7908.074703	1814.850904	2454.011777	0	2246.296434	57.80019146	208.4708372	0	1126.64456	0
2003	4	9897.038693	114.917001	5708.983076	177.2277905	2253.898953	0	130.0789333	0	1511.932939	0
2004	4	5541.058308	427.5872994	3127.687941	0	132.5540366	0	0	0	1853.229031	0
2005	4	7847.715482	0	5174.774826	0	220.5560321	0	92.60105942	0	2359.783564	0
2006	4	7554.265878	452.3481339	2466.080742	0	1104.176569	0	176.2998746	0	3355.360559	0
2007	4	11376.19618	92.19346948	5020.088465	0	2795.013086	0	80.94573215	0	3247.772379	113.1166948
2008	4	11687.21359	353.340239	7324.540711	600.7431429	797.1859977	0	92.60105942	71.10673945	2270.9217	176.7739985
2009	4	8103.911671	168.8443622	5282.217563	797.9693264	384.3041933	0	0	0	1379.837289	0
2010	4	2315.742674	1121.552644	0	0	0	0	0	0	1194.190031	0
1989	8	8596.894488	6387.43084	515.2683042	1440.913853	0	0	0	0	82.32471954	170.9567715
1990	8	7999.997439	6785.542176	1180.087063	0	0	0	0	0	0	34.36819947
1991	8	7873.271349	7337.409504	324.0437616	0	0	49.72406726	0	0	91.04	71.05401694
1992	8	4156.975368	2831.571386	1303.590465	0	0	0	21.81351758	0	0	0
1993	8	3104.247776	1998.876946	1105.37083	0	0	0	0	0	0	0
1994	8	3438.866982	2102.69451	1245.132471	0	0	0	0	0	91.04	0
1995	8	5204.343683	2151.748887	1501.797102	0	0	0	29.56610729	0	1521.231586	0
1996	8	7142.971834	1149.080839	4620.495423	0	0	130.9576741	216.3716546	0	1026.066243	0
1997	8	8888.527119	2380.264951	5079.922569	0	69.25972932	0	152.0807564	250.0294415	893.2175004	63.75217141
1998	8	5923.332636	1802.481998	2690.344696	0	637.3886999	0	0	0	793.117242	0
1999	8	4454.039695	935.8382423	2269.916447	0	714.1939694	0	0	0	534.0910361	0
2000	8	6241.465551	292.6764752	2943.295425	0	1981.301299	0	0	0	1024.192351	0
2001	8	6071.180356	287.7711799	2269.270203	0	1819.081919	0	0	57.80019146	1637.256863	0
2002	8	9929.12587	768.9093398	5461.787099	0	1978.354524	0	0	0	1720.074908	0
2003	8	7830.798935	1493.405157	2355.126641	0	2586.34917	0	252.513994	0	1143.403973	0
2004	8	4254.363776	609.5137949	1487.874794	0	1246.997786	0	0	0	909.9774011	0
2005	8	8944.402139	0	5216.028314	0	586.3624082	0	21.81351758	0	3120.197899	0
2006	8	7126.877076	286.5514241	3523.580243	0	924.4891005	0	0	0	2392.256308	0
2007	8	11724.63943	252.6129587	4340.43605	0	3978.221303	0	48.97402426	53.81269755	2695.597897	61.56332869
2008	8	14499.32641	1027.030145	7147.889135	2413.692498	2122.113858	0	138.9015891	267.5969847	1212.353042	59.06357534
2009	8	4978.124832	182.6952784	3122.044685	587.4393154	302.4240564	0	92.48669807	0	691.0347987	0
2010	8	1782.346968	697.8991993	435.8523662	0	0	0	0	0	648.5954028	0
1989	9	6583.700007	4691.69202	1397.695431	0	0	216.7016756	0	0	0	277.6108806
1990	9	7712.192899	6329.284498	1341.72632	0	0	0	0	0	41.18208144	0
1991	9	6258.393399	5894.679023	103.7631612	0	0	53.81269755	0	0	0	206.1385181
1992	9	4530.936207	4462.253168	0	0	0	0	0	0	0	68.68303888
1993	9	3114.427638	3114.427638	0	0	0	0	0	0	0	0
1994	9	1883.340259	1779.577098	103.7631612	0	0	0	0	0	0	0
1995	9	6598.207211	5091.441012	1148.589835	0	0	247.7312052	56.63246122	0	0	0
1996	9	6286.981646	4973.400394	928.8895011	0	0	57.80019146	203.4603813	0	123.431179	0
1997	9	7406.223432	4636.299654	1785.610133	0	0	0	124.9202497	627.2669818	158.9471105	73.17930285
1998	9	5043.140596	3559.306185	1196.491267	0	0	41.18208144	51.55336607	45.52	149.0876966	0
1999	9	5743.843645	4761.859445	513.1011332	0	88.79954115	0	0	0	380.0835253	0
2000	9	6279.664369	3981.192779	197.7113212	0	981.260448	0	0	0	1073.97982	45.52
2001	9	5607.412476	4985.858634	0	0	0	0	0	0	621.5538423	0
2002	9	7041.636244	4854.431703	102.1376026	0	426.8645064	115.5779805	24.48701213	0	1518.137439	0
2003	9	8674.336206	4288.687728	61.69794481	0	2580.368111	256.0573726	81.11947335	0	1406.405576	0
2004	9	6021.140882	4233.646456	653.917201	0	576.6157615	0	0	0	556.9614643	0
2005	9	5860.321653	3214.262039	1173.989545	0	473.3345284	0	0	0	959.7799503	38.95558949
2006	9	6252.729021	4098.626046	0	0	462.8532822	0	0	0	1691.249693	0
2007	9	9915.54939	2507.444951	314.4816896	0	4304.180141	0	92.60105942	144.6178581	2365.621864	159.5354719
2008	9	9187.216117	3185.845203	3039.823902	0	1556.160208	0	92.60105942	0	1098.658427	125.4976354
2009	9	3516.445483	686.5802724	2142.798736	0	105.5945362	0	21.81351758	0	559.6584214	0
2010	9	1612.225056	1413.357583	0	0	0	0	0	0	198.8674727	0
1989	11	4382.158755	3070.873579	493.4775815	0	0	308.2176116	0	0	45.52	464.0699825
1990	11	8364.935904	5656.917591	2620.202774	0	0	55.81831696	0	0	0	31.9972214
