Year	site	total	Glaucomys.volans	Tamias.striatus
1979	pdm	121	10	111
1980	pdm	919	62	857
1981	pdm	969	117	852
1982	pdm	1045	116	929
1983	pdm	798	60	738
1984	pdm	469	41	428
1985	pdm	402	31	371
1986	pdm	318	40	278
1987	pdm	407	47	360
1988	pdm	291	45	246
1989	pdm	237	14	223
1990	pdm	287	65	222
1991	pdm	96	30	66
1992	pdm	233	32	201
1993	pdm	324	42	282
1994	pdm	356	60	296
1995	pdm	337	90	247
1996	pdm	406	63	343
1997	pdm	920	289	631
1998	pdm	332	136	196
1999	pdm	552	94	458
