yr	plot	total	AO	DM	DO	DS	PB	PF	PP
1996	8	7142.971834	130.9577	1149.080839	4620.495423	0	0	216.3716546	1026.066243
1997	8	9208.143048	438.9780	2380.264951	5079.922569	0	209.6261981	206.1338758	893.2175004
1998	8	5923.332636	0.0000	1802.481998	2690.344696	0	637.3886999	0	793.117242
1999	8	4454.039695	0.0000	935.8382423	2269.916447	0	714.1939694	0	534.0910361
2000	8	6241.465551	0.0000	292.6764752	2943.295425	0	1981.301299	0	1024.192351
2001	8	6071.180356	57.8002	287.7711799	2269.270203	0	1819.081919	0	1637.256863
2002	8	9929.12587	0.0000	768.9093398	5461.787099	0	1978.354524	0	1720.074908
2003	8	7830.798935	0.0000	1493.405157	2355.126641	0	2586.34917	252.513994	1143.403973
2004	8	4143.328545	0.0000	609.5137949	1487.874794	0	1181.482555	0	864.4574011
2005	8	8003.191713	212.0816	0	4876.083059	0	451.5701078	21.81351758	2441.643461
2006	8	7126.877076	0.0000	286.5514241	3523.580243	0	924.4891005	0	2392.256308
2007	8	11724.63943	494.1590	167.2511596	4340.43605	0	3978.221303	48.97402426	2695.597897
1989	9	6583.700007	494.3126	4691.69202	1397.695431	0	0	0	0
1990	9	7712.192899	0.0000	6329.284498	1341.72632	0	0	0	41.18208144
1991	9	6258.393399	352.1447	5802.485553	103.7631612	0	0	0	0
1992	9	4530.936207	68.6830	4462.253168	0	0	0	0	0
1993	9	3114.427638	0.0000	3114.427638	0	0	0	0	0
1994	9	1883.340259	0.0000	1779.577098	103.7631612	0	0	0	0
1995	9	6598.207211	301.5439	5091.441012	1148.589835	0	0	56.63246122	0
1996	9	5469.342498	57.8002	4311.077773	825.1263399	0	0	151.9070152	123.431179
1997	9	7040.492023	640.6866	4440.510954	1675.427087	0	0	124.9202497	158.9471105
1998	9	5043.140596	86.7021	3559.306185	1196.491267	0	0	51.55336607	149.0876966
1999	9	5743.843645	0.0000	4761.859445	513.1011332	0	88.79954115	0	380.0835253
2000	9	6279.664369	45.5200	3981.192779	197.7113212	0	981.260448	0	1073.97982
2001	9	5607.412476	0.0000	4985.858634	0	0	0	0	621.5538423
2002	9	7041.636244	115.5780	4854.431703	102.1376026	0	426.8645064	24.48701213	1518.137439
2003	9	8674.336206	307.8392	4288.687728	61.69794481	0	2580.368111	81.11947335	1354.623737
2004	9	6132.176114	0.0000	4233.646456	653.917201	0	642.1309926	0	602.4814643
2005	9	6801.532078	127.8447	3214.262039	1513.934801	0	608.1268288	0	1337.36369
